Date,Clicks,Impressions,CTR,Position
2026-05-04,0,3,0%,1
2026-05-05,0,5,0%,4
2026-05-06,0,19,0%,17.4
2026-05-07,0,3,0%,4.3
2026-05-08,1,10,10%,6.2
2026-05-09,0,4,0%,4.8
2026-05-10,0,3,0%,2.3
2026-05-11,0,2,0%,3
2026-05-12,1,7,14.29%,1.9
2026-05-13,0,16,0%,21.5
2026-05-14,1,10,10%,11.9
2026-05-15,0,10,0%,9
2026-05-16,0,4,0%,4
2026-05-17,0,7,0%,4.3
2026-05-18,2,5,40%,4.8
2026-05-19,0,4,0%,7.5
2026-05-20,1,17,5.88%,24
2026-05-21,1,5,20%,19
2026-05-22,1,8,12.5%,11.1
2026-05-23,1,8,12.5%,5.8
2026-05-24,0,11,0%,5.6
2026-05-25,0,7,0%,5.9
2026-05-26,0,10,0%,7.3
2026-05-27,0,16,0%,28.8
2026-05-28,1,7,14.29%,14.4
2026-05-29,0,9,0%,9.4
2026-05-30,0,6,0%,18.8
2026-05-31,0,6,0%,4.3
