sl,name,type,region,district,company,decision_maker,hq_city,hq_address,phone,email,scale,reg_no,marks,maps_url
1,FATEMABAD TEA ESTATE,Organized Estate,Lower Assam,Baksa,FATEMABAD TEA ESTATE,-,Baksa,"Baksa, Assam",-,-,Organized Plantation,36,,
2,MENOKA TEA ESTATE,Organized Estate,Lower Assam,Baksa,MENOKA TEA ESTATE,-,Baksa,"Baksa, Assam",-,-,Organized Plantation,1764 (RC-530),,
3,BEHALI TEA ESTATE,Organized Estate,Central Assam,Biswanath,McLeod Russel India Limited,-,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",-,-,Organized Plantation,D-27,,
4,BORGAON T.E,Organized Estate,Central Assam,Biswanath,BORGAON T.E,-,Biswanath,"Biswanath, Assam",-,-,Organized Plantation,3046,,
5,DHULLIE TEA ESTATE,Organized Estate,Central Assam,Biswanath,McLeod Russel India Limited,-,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",-,-,Organized Plantation,V-4,,
6,KETTELA TEA ESTATE,Organized Estate,Central Assam,Biswanath,KETTELA TEA ESTATE,-,Biswanath,"Biswanath, Assam",-,-,Organized Plantation,2536,,
7,MAJULIGHUR,Organized Estate,Central Assam,Biswanath,Amalgamated Plantations Private Limited (Tata),-,Guwahati,"1st Floor, GS Road, Christian Basti, Guwahati, Assam 781005",-,-,Organized Plantation,D-29,MAJULIGHUR,
8,MAHALUXMI TEA ESTATE,Organized Estate,Central Assam,Biswanath,MAHALUXMI TEA ESTATE,-,Biswanath,"Biswanath, Assam",-,-,Organized Plantation,70,,
9,GINGIA,Organized Estate,Central Assam,Biswanath,GINGIA,-,Biswanath,"Biswanath, Assam",-,-,Organized Plantation,N/26,GINGIA TEA ESTATE,
10,HALEM,Organized Estate,Central Assam,Biswanath,McLeod Russel India Limited,-,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",-,-,Organized Plantation,N-27,,
11,MONABARIE,Organized Estate,Central Assam,Biswanath,McLeod Russel India Limited,-,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",-,-,Organized Plantation,N-22,,
12,MIJICAJAN,Organized Estate,Central Assam,Biswanath,McLeod Russel India Limited,-,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",-,-,Organized Plantation,D-28,,
13,NEWPURUPBARI,Organized Estate,Central Assam,Biswanath,NEWPURUPBARI,-,Biswanath,"Biswanath, Assam",-,-,Organized Plantation,2464,,
14,NIRMALA T.E,Organized Estate,Central Assam,Biswanath,NIRMALA T.E,-,Biswanath,"Biswanath, Assam",-,-,Organized Plantation,105,,
15,NYA GOGRA T.E,Organized Estate,Central Assam,Biswanath,McLeod Russel India Limited,-,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",-,-,Organized Plantation,N-28,,
16,PERTABGHUR TEA ESTATE,Organized Estate,Central Assam,Biswanath,McLeod Russel India Limited,-,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",-,-,Organized Plantation,D/6,,
17,TEZALPATTY TEA ESTATE,Organized Estate,Central Assam,Biswanath,TEZALPATTY TEA ESTATE,-,Biswanath,"Biswanath, Assam",-,-,Organized Plantation,2874,,
18,SRILA TE,Organized Estate,Barak Valley,Cachar,SRILA TE,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,3028,,
19,SUBONG TEA(PRITHVI TEA CO PVT LTD),Organized Estate,Barak Valley,Cachar,SUBONG TEA(PRITHVI TEA CO PVT LTD),-,Cachar,"Cachar, Assam",-,-,Organized Plantation,2513,,
20,PATHECHERRA TEA ESTATE,Organized Estate,Barak Valley,Cachar,PATHECHERRA TEA ESTATE,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,1880,,
21,PALLORBUND,Organized Estate,Barak Valley,Cachar,PALLORBUND,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,2424,,
22,RUKNI TE,Organized Estate,Barak Valley,Cachar,RUKNI TE,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,2429,,
23,ROSEKANDY TE,Organized Estate,Barak Valley,Cachar,ROSEKANDY TE,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,2217,,
24,RUTTONPORE TE,Organized Estate,Barak Valley,Cachar,RUTTONPORE TE,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,2289,,
25,RAHMAN NAGAR,Organized Estate,Barak Valley,Cachar,RAHMAN NAGAR,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,76,,
26,RAMPORE TE,Organized Estate,Barak Valley,Cachar,RAMPORE TE,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,2402,,
27,POLOI TE,Organized Estate,Barak Valley,Cachar,POLOI TE,-,Cachar,"Cachar, Assam",-,-,Organized Plantation,2239,,
