company_id,company_name,type,hq_city,hq_address,exclusion_flag,gardens_count
gs-as-co-001,FATEMABAD TEA ESTATE,Private Limited Company,Baksa,"Baksa, Assam",no,1
gs-as-co-002,MENOKA TEA ESTATE,Private Limited Company,Baksa,"Baksa, Assam",no,1
gs-as-co-003,McLeod Russel India Limited,Corporate Conglomerate,Kolkata,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",yes,16
gs-as-co-004,BORGAON T.E,Private Limited Company,Biswanath,"Biswanath, Assam",no,1
gs-as-co-005,KETTELA TEA ESTATE,Private Limited Company,Biswanath,"Biswanath, Assam",no,1
gs-as-co-006,Amalgamated Plantations Private Limited (Tata),Corporate Conglomerate,Guwahati,"1st Floor, GS Road, Christian Basti, Guwahati, Assam 781005",yes,12
gs-as-co-007,MAHALUXMI TEA ESTATE,Private Limited Company,Biswanath,"Biswanath, Assam",no,1
gs-as-co-008,GINGIA,Private Limited Company,Biswanath,"Biswanath, Assam",no,1
gs-as-co-009,NEWPURUPBARI,Private Limited Company,Biswanath,"Biswanath, Assam",no,1
gs-as-co-010,NIRMALA T.E,Private Limited Company,Biswanath,"Biswanath, Assam",no,1
gs-as-co-011,TEZALPATTY TEA ESTATE,Private Limited Company,Biswanath,"Biswanath, Assam",no,1
gs-as-co-012,SRILA TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-013,SUBONG TEA(PRITHVI TEA CO PVT LTD),Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-014,PATHECHERRA TEA ESTATE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-015,PALLORBUND,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-016,RUKNI TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-017,ROSEKANDY TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-018,RUTTONPORE TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-019,RAHMAN NAGAR,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-020,RAMPORE TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-021,POLOI TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-022,URRUNABUND TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-023,WEST JALINGA TE,Private Limited Company,Cachar,"Cachar, Assam",no,1
gs-as-co-024,SILCURI,Private Limited Company,Cachar,"Cachar, Assam",no,1
