garden_id,evidence_type,claim,source_urls
gs-as-bak-001,teaboard_final_notice,"Registered tea garden #36 in Baksa, Assam.",Tea Board Final Notice 2019
gs-as-bak-002,teaboard_final_notice,"Registered tea garden #1764 (RC-530) in Baksa, Assam.",Tea Board Final Notice 2019
gs-as-bis-001,corporate_registry,Operated by McLeod Russel India Limited.,Tea Board Register & Annual Filings
gs-as-bis-002,teaboard_final_notice,"Registered tea garden #3046 in Biswanath, Assam.",Tea Board Final Notice 2019
gs-as-bis-003,corporate_registry,Operated by McLeod Russel India Limited.,Tea Board Register & Annual Filings
gs-as-bis-004,teaboard_final_notice,"Registered tea garden #2536 in Biswanath, Assam.",Tea Board Final Notice 2019
gs-as-bis-005,corporate_registry,Operated by Amalgamated Plantations Private Limited (Tata).,Tea Board Register & Annual Filings
gs-as-bis-006,teaboard_final_notice,"Registered tea garden #70 in Biswanath, Assam.",Tea Board Final Notice 2019
gs-as-bis-007,teaboard_final_notice,"Registered tea garden #N/26 in Biswanath, Assam.",Tea Board Final Notice 2019
gs-as-bis-008,corporate_registry,Operated by McLeod Russel India Limited.,Tea Board Register & Annual Filings
gs-as-bis-009,corporate_registry,Operated by McLeod Russel India Limited.,Tea Board Register & Annual Filings
gs-as-bis-010,corporate_registry,Operated by McLeod Russel India Limited.,Tea Board Register & Annual Filings
gs-as-bis-011,teaboard_final_notice,"Registered tea garden #2464 in Biswanath, Assam.",Tea Board Final Notice 2019
gs-as-bis-012,teaboard_final_notice,"Registered tea garden #105 in Biswanath, Assam.",Tea Board Final Notice 2019
gs-as-bis-013,corporate_registry,Operated by McLeod Russel India Limited.,Tea Board Register & Annual Filings
gs-as-bis-014,corporate_registry,Operated by McLeod Russel India Limited.,Tea Board Register & Annual Filings
gs-as-bis-015,teaboard_final_notice,"Registered tea garden #2874 in Biswanath, Assam.",Tea Board Final Notice 2019
gs-as-cac-001,teaboard_final_notice,"Registered tea garden #3028 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-002,teaboard_final_notice,"Registered tea garden #2513 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-003,teaboard_final_notice,"Registered tea garden #1880 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-004,teaboard_final_notice,"Registered tea garden #2424 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-005,teaboard_final_notice,"Registered tea garden #2429 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-006,teaboard_final_notice,"Registered tea garden #2217 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-007,teaboard_final_notice,"Registered tea garden #2289 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-008,teaboard_final_notice,"Registered tea garden #76 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-009,teaboard_final_notice,"Registered tea garden #2402 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-010,teaboard_final_notice,"Registered tea garden #2239 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-011,teaboard_final_notice,"Registered tea garden #2029 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-012,teaboard_final_notice,"Registered tea garden #2451 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-013,teaboard_final_notice,"Registered tea garden #2403 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-014,teaboard_final_notice,"Registered tea garden #2380 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-015,teaboard_final_notice,"Registered tea garden #2007 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-016,teaboard_final_notice,"Registered tea garden #2964 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-017,teaboard_final_notice,"Registered tea garden #2055 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-018,teaboard_final_notice,"Registered tea garden #2568 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-019,teaboard_final_notice,"Registered tea garden #H-9 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-020,teaboard_final_notice,"Registered tea garden #2337 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-021,teaboard_final_notice,"Registered tea garden #2512 in Cachar, Assam.",Tea Board Final Notice 2019
gs-as-cac-022,teaboard_final_notice,"Registered tea garden #2451 in Cachar, Assam.",Tea Board Final Notice 2019
