garden_id,alias_name,source
gs-as-bak-001,FATEMABAD TEA ESTATE,tea_board_registered_planters_2019
gs-as-bak-002,MENOKA TEA ESTATE,tea_board_registered_planters_2019
gs-as-bis-001,BEHALI TEA ESTATE,tea_board_registered_planters_2019
gs-as-bis-002,BORGAON T.E,tea_board_registered_planters_2019
gs-as-bis-003,DHULLIE TEA ESTATE,tea_board_registered_planters_2019
gs-as-bis-004,KETTELA TEA ESTATE,tea_board_registered_planters_2019
gs-as-bis-005,MAJULIGHUR,tea_board_registered_planters_2019
gs-as-bis-006,MAHALUXMI TEA ESTATE,tea_board_registered_planters_2019
gs-as-bis-007,GINGIA,tea_board_registered_planters_2019
gs-as-bis-008,HALEM,tea_board_registered_planters_2019
gs-as-bis-009,MONABARIE,tea_board_registered_planters_2019
gs-as-bis-010,MIJICAJAN,tea_board_registered_planters_2019
gs-as-bis-011,NEWPURUPBARI,tea_board_registered_planters_2019
gs-as-bis-012,NIRMALA T.E,tea_board_registered_planters_2019
gs-as-bis-013,NYA GOGRA T.E,tea_board_registered_planters_2019
gs-as-bis-014,PERTABGHUR TEA ESTATE,tea_board_registered_planters_2019
gs-as-bis-015,TEZALPATTY TEA ESTATE,tea_board_registered_planters_2019
gs-as-cac-001,SRILA TE,tea_board_registered_planters_2019
gs-as-cac-002,SUBONG TEA(PRITHVI TEA CO PVT LTD),tea_board_registered_planters_2019
gs-as-cac-003,PATHECHERRA TEA ESTATE,tea_board_registered_planters_2019
gs-as-cac-004,PALLORBUND,tea_board_registered_planters_2019
gs-as-cac-005,RUKNI TE,tea_board_registered_planters_2019
gs-as-cac-006,ROSEKANDY TE,tea_board_registered_planters_2019
gs-as-cac-007,RUTTONPORE TE,tea_board_registered_planters_2019
gs-as-cac-008,RAHMAN NAGAR,tea_board_registered_planters_2019
gs-as-cac-009,RAMPORE TE,tea_board_registered_planters_2019
gs-as-cac-010,POLOI TE,tea_board_registered_planters_2019
gs-as-cac-011,URRUNABUND TE,tea_board_registered_planters_2019
gs-as-cac-012,WEST JALINGA TE,tea_board_registered_planters_2019
gs-as-cac-013,SILCURI,tea_board_registered_planters_2019
gs-as-cac-014,HILARA TE,tea_board_registered_planters_2019
gs-as-cac-015,IRINGMARA TEA ESTATE,tea_board_registered_planters_2019
gs-as-cac-016,INDRAGARH TE,tea_board_registered_planters_2019
gs-as-cac-017,JATINGA VALLEY TE,tea_board_registered_planters_2019
gs-as-cac-018,JELLALPORE TEA ESTATE,tea_board_registered_planters_2019
gs-as-cac-019,JHIRIGHAT TE,tea_board_registered_planters_2019
gs-as-cac-020,MONIIERKHAL TE,tea_board_registered_planters_2019
gs-as-cac-021,HATTICHERRA TE,tea_board_registered_planters_2019
gs-as-cac-022,DWARBUND TE,tea_board_registered_planters_2019
