garden_id,canonical_name,normalized_name,current_status,status_confidence,district,region,tea_board_registration,company_id,company_name,scale,marks,prospect_eligibility,exclusion_reason,source
gs-as-bak-001,FATEMABAD TEA ESTATE,famabad,likely_active,medium,Baksa,Lower Assam,36,gs-as-co-001,FATEMABAD TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-bak-002,MENOKA TEA ESTATE,menoka,likely_active,medium,Baksa,Lower Assam,1764 (RC-530),gs-as-co-002,MENOKA TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-bis-001,BEHALI TEA ESTATE,behali,active_confirmed,high,Biswanath,Central Assam,D-27,gs-as-co-003,McLeod Russel India Limited,Organized Plantation,,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-002,BORGAON T.E,borgaon,likely_active,medium,Biswanath,Central Assam,3046,gs-as-co-004,BORGAON T.E,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-bis-003,DHULLIE TEA ESTATE,dhullie,active_confirmed,high,Biswanath,Central Assam,V-4,gs-as-co-003,McLeod Russel India Limited,Organized Plantation,,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-004,KETTELA TEA ESTATE,ketla,likely_active,medium,Biswanath,Central Assam,2536,gs-as-co-005,KETTELA TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-bis-005,MAJULIGHUR,majulighur,active_confirmed,high,Biswanath,Central Assam,D-29,gs-as-co-006,Amalgamated Plantations Private Limited (Tata),Organized Plantation,MAJULIGHUR,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-006,MAHALUXMI TEA ESTATE,mahaluxmi,likely_active,medium,Biswanath,Central Assam,70,gs-as-co-007,MAHALUXMI TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-bis-007,GINGIA,gingia,likely_active,medium,Biswanath,Central Assam,N/26,gs-as-co-008,GINGIA,Organized Plantation,GINGIA TEA ESTATE,target_candidate,,tea_board_registered_planters_2019
gs-as-bis-008,HALEM,halem,active_confirmed,high,Biswanath,Central Assam,N-27,gs-as-co-003,McLeod Russel India Limited,Organized Plantation,,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-009,MONABARIE,monabarie,active_confirmed,high,Biswanath,Central Assam,N-22,gs-as-co-003,McLeod Russel India Limited,Organized Plantation,,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-010,MIJICAJAN,mijicajan,active_confirmed,high,Biswanath,Central Assam,D-28,gs-as-co-003,McLeod Russel India Limited,Organized Plantation,,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-011,NEWPURUPBARI,newpurupbari,likely_active,medium,Biswanath,Central Assam,2464,gs-as-co-009,NEWPURUPBARI,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-bis-012,NIRMALA T.E,nirmala,likely_active,medium,Biswanath,Central Assam,105,gs-as-co-010,NIRMALA T.E,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-bis-013,NYA GOGRA T.E,nyagogra,active_confirmed,high,Biswanath,Central Assam,N-28,gs-as-co-003,McLeod Russel India Limited,Organized Plantation,,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-014,PERTABGHUR TEA ESTATE,pertabghur,active_confirmed,high,Biswanath,Central Assam,D/6,gs-as-co-003,McLeod Russel India Limited,Organized Plantation,,excluded_large_group,Conglomerate / Multi-estate group,tea_board_registered_planters_2019
gs-as-bis-015,TEZALPATTY TEA ESTATE,zalpatty,likely_active,medium,Biswanath,Central Assam,2874,gs-as-co-011,TEZALPATTY TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-001,SRILA TE,srila,likely_active,medium,Cachar,Barak Valley,3028,gs-as-co-012,SRILA TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-002,SUBONG TEA(PRITHVI TEA CO PVT LTD),subongaprithviaco,likely_active,medium,Cachar,Barak Valley,2513,gs-as-co-013,SUBONG TEA(PRITHVI TEA CO PVT LTD),Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-003,PATHECHERRA TEA ESTATE,pathecherra,likely_active,medium,Cachar,Barak Valley,1880,gs-as-co-014,PATHECHERRA TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-004,PALLORBUND,pallorbund,likely_active,medium,Cachar,Barak Valley,2424,gs-as-co-015,PALLORBUND,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-005,RUKNI TE,rukni,likely_active,medium,Cachar,Barak Valley,2429,gs-as-co-016,RUKNI TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-006,ROSEKANDY TE,rosekandy,likely_active,medium,Cachar,Barak Valley,2217,gs-as-co-017,ROSEKANDY TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-007,RUTTONPORE TE,ruttonpore,likely_active,medium,Cachar,Barak Valley,2289,gs-as-co-018,RUTTONPORE TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-008,RAHMAN NAGAR,rahmannagar,likely_active,medium,Cachar,Barak Valley,76,gs-as-co-019,RAHMAN NAGAR,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-009,RAMPORE TE,rampore,likely_active,medium,Cachar,Barak Valley,2402,gs-as-co-020,RAMPORE TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-010,POLOI TE,poloi,likely_active,medium,Cachar,Barak Valley,2239,gs-as-co-021,POLOI TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-011,URRUNABUND TE,urrunabund,likely_active,medium,Cachar,Barak Valley,2029,gs-as-co-022,URRUNABUND TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-012,WEST JALINGA TE,westjalinga,likely_active,medium,Cachar,Barak Valley,2451,gs-as-co-023,WEST JALINGA TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-013,SILCURI,silcuri,likely_active,medium,Cachar,Barak Valley,2403,gs-as-co-024,SILCURI,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-014,HILARA TE,hilara,likely_active,medium,Cachar,Barak Valley,2380,gs-as-co-025,HILARA TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-015,IRINGMARA TEA ESTATE,iringmara,likely_active,medium,Cachar,Barak Valley,2007,gs-as-co-026,IRINGMARA TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-016,INDRAGARH TE,indragarh,likely_active,medium,Cachar,Barak Valley,2964,gs-as-co-027,INDRAGARH TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-017,JATINGA VALLEY TE,jatingavalley,likely_active,medium,Cachar,Barak Valley,2055,gs-as-co-028,JATINGA VALLEY TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-018,JELLALPORE TEA ESTATE,jellalpore,likely_active,medium,Cachar,Barak Valley,2568,gs-as-co-029,JELLALPORE TEA ESTATE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
gs-as-cac-019,JHIRIGHAT TE,jhirighat,likely_active,medium,Cachar,Barak Valley,H-9,gs-as-co-030,JHIRIGHAT TE,Organized Plantation,,target_candidate,,tea_board_registered_planters_2019
