tb_sno,estate_name,tb_reg_no,state,district,raw_entry
28,FATEMABAD TEA ESTATE,36,Assam,Baksa,FATEMABAD TEA ESTATE 36 ASSAM BAKSA
29,MENOKA TEA ESTATE,1764 (RC-530),Assam,Baksa,MENOKA TEA ESTATE 1764 (RC-530) ASSAM BAKSA
30,BEHALI TEA ESTATE,D-27,Assam,Biswanath,BEHALI TEA ESTATE D-27 ASSAM BISWANATH
31,BORGAON T.E,3046,Assam,Biswanath,BORGAON T.E 3046 ASSAM BISWANATH
32,DHULLIE TEA ESTATE,V-4,Assam,Biswanath,DHULLIE TEA ESTATE V-4 ASSAM BISWANATH
33,KETTELA TEA ESTATE,2536,Assam,Biswanath,KETTELA TEA ESTATE 2536 ASSAM BISWANATH
34,MAJULIGHUR,D-29,Assam,Biswanath,MAJULIGHUR D-29 ASSAM BISWANATH
35,MAHALUXMI TEA ESTATE,70,Assam,Biswanath,MAHALUXMI TEA ESTATE 70 ASSAM BISWANATH
36,GINGIA,N/26,Assam,Biswanath,GINGIA N/26 ASSAM BISWANATH
37,HALEM,N-27,Assam,Biswanath,HALEM N-27 ASSAM BISWANATH
38,MONABARIE,N-22,Assam,Biswanath,MONABARIE N-22 ASSAM BISWANATH
39,MIJICAJAN,D-28,Assam,Biswanath,MIJICAJAN D-28 ASSAM BISWANATH
40,NEWPURUPBARI,2464,Assam,Biswanath,NEWPURUPBARI 2464 ASSAM BISWANATH
41,NIRMALA T.E,105,Assam,Biswanath,NIRMALA T.E 105 ASSAM BISWANATH
42,NYA GOGRA T.E,N-28,Assam,Biswanath,NYA GOGRA T.E N-28 ASSAM BISWANATH
43,PERTABGHUR TEA ESTATE,D/6,Assam,Biswanath,PERTABGHUR TEA ESTATE D/6 ASSAM BISWANATH
44,TEZALPATTY TEA ESTATE,2874,Assam,Biswanath,TEZALPATTY TEA ESTATE 2874 ASSAM BISWANATH
45,SRILA TE,3028,Assam,Cachar,SRILA TE 3028 ASSAM CACHAR
46,SUBONG TEA(PRITHVI TEA CO PVT LTD),2513,Assam,Cachar,SUBONG TEA(PRITHVI TEA CO PVT LTD) 2513 ASSAM CACHAR
47,PATHECHERRA TEA ESTATE,1880,Assam,Cachar,PATHECHERRA TEA ESTATE 1880 ASSAM CACHAR
48,PALLORBUND,2424,Assam,Cachar,PALLORBUND 2424 ASSAM CACHAR
49,RUKNI TE,2429,Assam,Cachar,RUKNI TE 2429 ASSAM CACHAR
50,ROSEKANDY TE,2217,Assam,Cachar,ROSEKANDY TE 2217 ASSAM CACHAR
51,RUTTONPORE TE,2289,Assam,Cachar,RUTTONPORE TE 2289 ASSAM CACHAR
52,RAHMAN NAGAR,76,Assam,Cachar,RAHMAN NAGAR 76 ASSAM CACHAR
53,RAMPORE TE,2402,Assam,Cachar,RAMPORE TE 2402 ASSAM CACHAR
54,POLOI TE,2239,Assam,Cachar,POLOI TE 2239 ASSAM CACHAR
55,URRUNABUND TE,2029,Assam,Cachar,URRUNABUND TE 2029 ASSAM CACHAR
56,WEST JALINGA TE,2451,Assam,Cachar,WEST JALINGA TE 2451 ASSAM CACHAR
57,SILCURI,2403,Assam,Cachar,SILCURI 2403 ASSAM CACHAR
58,HILARA TE,2380,Assam,Cachar,HILARA TE 2380 ASSAM CACHAR
59,IRINGMARA TEA ESTATE,2007,Assam,Cachar,IRINGMARA TEA ESTATE 2007 ASSAM CACHAR
60,INDRAGARH TE,2964,Assam,Cachar,INDRAGARH TE 2964 ASSAM CACHAR
61,JATINGA VALLEY TE,2055,Assam,Cachar,JATINGA VALLEY TE 2055 ASSAM CACHAR
62,JELLALPORE TEA ESTATE,2568,Assam,Cachar,JELLALPORE TEA ESTATE 2568 ASSAM CACHAR
63,JHIRIGHAT TE,H-9,Assam,Cachar,JHIRIGHAT TE H-9 ASSAM CACHAR
64,MONIIERKHAL TE,2337,Assam,Cachar,MONIIERKHAL TE 2337 ASSAM CACHAR
65,HATTICHERRA TE,2512,Assam,Cachar,HATTICHERRA TE 2512 ASSAM CACHAR
66,DWARBUND TE,2451,Assam,Cachar,DWARBUND TE 2451 ASSAM CACHAR
67,DILKHOOSH TE,2432,Assam,Cachar,DILKHOOSH TE 2432 ASSAM CACHAR
68,DOOLOOGRAM TE,2166,Assam,Cachar,DOOLOOGRAM TE 2166 ASSAM CACHAR
69,DOLOO TE,2474,Assam,Cachar,DOLOO TE 2474 ASSAM CACHAR
70,MADOORA TE,288,Assam,Cachar,MADOORA TE 288 ASSAM CACHAR
71,MARTYCHERRA TE,2098,Assam,Cachar,MARTYCHERRA TE 2098 ASSAM CACHAR
72,LARSINGAH TE,2391,Assam,Cachar,LARSINGAH TE 2391 ASSAM CACHAR
73,LABAC,2470,Assam,Cachar,LABAC 2470 ASSAM CACHAR
74,LAKHIPORE,2177,Assam,Cachar,LAKHIPORE 2177 ASSAM CACHAR
75,KOOMBER TEA ESTATE,2653,Assam,Cachar,KOOMBER TEA ESTATE 2653 ASSAM CACHAR
76,KAILASHPUR TE,2679,Assam,Cachar,KAILASHPUR TE 2679 ASSAM CACHAR
77,KALLINECHERRA,C-10,Assam,Cachar,KALLINECHERRA C-10 ASSAM CACHAR
78,KALLINE TE,2569,Assam,Cachar,KALLINE TE 2569 ASSAM CACHAR
79,KHOREEL TEA ESTATE,2060,Assam,Cachar,KHOREEL TEA ESTATE 2060 ASSAM CACHAR
80,BICRAMPORE T.E.,2309,Assam,Cachar,BICRAMPORE T.E. 2309 ASSAM CACHAR
81,BINNAKANDY T.E,2437,Assam,Cachar,BINNAKANDY T.E 2437 ASSAM CACHAR
82,BOROKAI T.E,2384,Assam,Cachar,BOROKAI T.E 2384 ASSAM CACHAR
83,BOROJALINGAH T.E.,2340,Assam,Cachar,BOROJALINGAH T.E. 2340 ASSAM CACHAR
84,BURTOLL T.E,2469,Assam,Cachar,BURTOLL T.E 2469 ASSAM CACHAR
85,CHANDIGHAT T.E.,2540,Assam,Cachar,CHANDIGHAT T.E. 2540 ASSAM CACHAR
86,COOMBERGRAM,C-2,Assam,Cachar,COOMBERGRAM C-2 ASSAM CACHAR
