entity_name,type,state,marks,source_page
"FARINGOLA DIAMOND, SREERANG DIAMOND, SREEVISHNU A.N. SECURITIES PVT. LTD. SOCKLATINGA TEA ESTATE",Organized Estate / Factory,Assam,"SOCKLATINGA, SOCKLATINGA",13
"ABG CHA UDYOGABG CHA UDYOG, JOYA TEA ESTATE",Organized Estate / Factory,Assam,JOYA,13
AGARWAL(ASSAM) TEA ESTATE AGARWAL(ASSAM) TEA ESTATE,Organized Estate / Factory,Assam,"MADHOKULI GOLD, MADHOKULI",13
"AIDEOBARIE TEA ESTATE, FACTORY & STG",Organized Estate / Factory,Assam,AIDEOBARI PREMIUM,13
ACHABAM TE & STG,Organized Estate / Factory,Assam,,13
BORHAT TE FACTORY & STG,Bought Leaf Factory (BLF),Assam,,14
"OD, BORHAT LEAF-CC, BORHAT DUST-DC, BORHAT LEAF-OR BORJAN TE",Organized Estate / Factory,Assam,BORJAN,14
CHUBWA TE & STG,Organized Estate / Factory,Assam,,14
DIFFLOO TEA ESTATE & SMALL TEA GROWERS,Organized Estate / Factory,Assam,"DIFFLOO, NORTH GRANT",14
HATHIKULI TEA ESTATE,Organized Estate / Factory,Assam,HATHIKULI,14
HATTIGOR TEA ESTATE,Organized Estate / Factory,Assam,"HATTIGOR, KALSI, HARISINGHA",14
"KELLYDEN TE,FACTORY & STG",Bought Leaf Factory (BLF),Assam,"KELLYDEN, HATIGAON",14
LAMABARI TEA ESTATE & STG,Organized Estate / Factory,Assam,"LAMABARI, SPRINGFIELD",14
"AND MEGA FACTORY, LATTAKOOJAN TEA ESTATE",Organized Estate / Factory,Assam,,14
"LATTAKOOJAN,DEBRAPARA, DEOPAHAR NAMROOP TE & STG",Organized Estate / Factory,Assam,"NAMROOP, POMATOLI",14
MAJULI TE,Organized Estate / Factory,Assam,"MAJULI, KHOIRABARI",14
NAHORANI TEA ESTATE & STG,Organized Estate / Factory,Assam,,14
"NAHARONI ORTHODOX, NAHORANI HIGHGROWN NAHORKUTIA TE & STG",Organized Estate / Factory,Assam,"NAHORKUTIA, NAGAPARA",14
NAHORTOLI TEA ESTATE,Organized Estate / Factory,Assam,"NAHORTOLI, RANIKHOLA",14
"KAKAJAN TEA ESTATE & FACTORY, BHELAGURI TE",Organized Estate / Factory,Assam,,15
"KAKAJAN HIGHGROWN, KAKAJAN, BHELAGURI NONOI TE & STG",Organized Estate / Factory,Assam,NONOI,15
POWAI TE & STG,Organized Estate / Factory,Assam,,15
