garden_id,garden_name,district,action_needed,details
gs-as-bak-001,FATEMABAD TEA ESTATE,Baksa,mca_company_lookup,Find owning entity and directors for Reg #36
gs-as-bak-002,MENOKA TEA ESTATE,Baksa,mca_company_lookup,Find owning entity and directors for Reg #1764 (RC-530)
gs-as-bis-002,BORGAON T.E,Biswanath,mca_company_lookup,Find owning entity and directors for Reg #3046
gs-as-bis-004,KETTELA TEA ESTATE,Biswanath,mca_company_lookup,Find owning entity and directors for Reg #2536
gs-as-bis-006,MAHALUXMI TEA ESTATE,Biswanath,mca_company_lookup,Find owning entity and directors for Reg #70
gs-as-bis-007,GINGIA,Biswanath,mca_company_lookup,Find owning entity and directors for Reg #N/26
gs-as-bis-011,NEWPURUPBARI,Biswanath,mca_company_lookup,Find owning entity and directors for Reg #2464
gs-as-bis-012,NIRMALA T.E,Biswanath,mca_company_lookup,Find owning entity and directors for Reg #105
gs-as-bis-015,TEZALPATTY TEA ESTATE,Biswanath,mca_company_lookup,Find owning entity and directors for Reg #2874
gs-as-cac-001,SRILA TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #3028
gs-as-cac-002,SUBONG TEA(PRITHVI TEA CO PVT LTD),Cachar,mca_company_lookup,Find owning entity and directors for Reg #2513
gs-as-cac-003,PATHECHERRA TEA ESTATE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #1880
gs-as-cac-004,PALLORBUND,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2424
gs-as-cac-005,RUKNI TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2429
gs-as-cac-006,ROSEKANDY TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2217
gs-as-cac-007,RUTTONPORE TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2289
gs-as-cac-008,RAHMAN NAGAR,Cachar,mca_company_lookup,Find owning entity and directors for Reg #76
gs-as-cac-009,RAMPORE TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2402
gs-as-cac-010,POLOI TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2239
gs-as-cac-011,URRUNABUND TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2029
gs-as-cac-012,WEST JALINGA TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2451
gs-as-cac-013,SILCURI,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2403
gs-as-cac-014,HILARA TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2380
gs-as-cac-015,IRINGMARA TEA ESTATE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2007
gs-as-cac-016,INDRAGARH TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2964
gs-as-cac-017,JATINGA VALLEY TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2055
gs-as-cac-018,JELLALPORE TEA ESTATE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2568
gs-as-cac-019,JHIRIGHAT TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #H-9
gs-as-cac-020,MONIIERKHAL TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2337
gs-as-cac-021,HATTICHERRA TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2512
gs-as-cac-022,DWARBUND TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2451
gs-as-cac-023,DILKHOOSH TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2432
gs-as-cac-024,DOOLOOGRAM TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2166
gs-as-cac-025,DOLOO TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2474
gs-as-cac-026,MADOORA TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #288
gs-as-cac-027,MARTYCHERRA TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2098
gs-as-cac-028,LARSINGAH TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2391
gs-as-cac-029,LABAC,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2470
gs-as-cac-030,LAKHIPORE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2177
gs-as-cac-031,KOOMBER TEA ESTATE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2653
gs-as-cac-032,KAILASHPUR TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2679
gs-as-cac-033,KALLINECHERRA,Cachar,mca_company_lookup,Find owning entity and directors for Reg #C-10
gs-as-cac-034,KALLINE TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2569
gs-as-cac-035,KHOREEL TEA ESTATE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2060
gs-as-cac-036,BICRAMPORE T.E.,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2309
gs-as-cac-037,BINNAKANDY T.E,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2437
gs-as-cac-038,BOROKAI T.E,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2384
gs-as-cac-039,BOROJALINGAH T.E.,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2340
gs-as-cac-040,BURTOLL T.E,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2469
gs-as-cac-041,CHANDIGHAT T.E.,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2540
gs-as-cac-042,COOMBERGRAM,Cachar,mca_company_lookup,Find owning entity and directors for Reg #C-2
gs-as-cac-043,CRAIGPARK T.E.,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2369(2368)
gs-as-cac-044,DEGUBBER T.E,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2163
gs-as-cac-045,DERBY T.E,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2350
gs-as-cac-046,DEWAN TE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2468
gs-as-cac-047,BENODNAGAR T.E,Cachar,mca_company_lookup,Find owning entity and directors for Reg #110
gs-as-cac-048,BHUBANDHAR TEA ESTATE,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2460
gs-as-cac-049,BHUVANVALLEY,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2035
gs-as-cac-050,BAJRANGPUR,Cachar,mca_company_lookup,Find owning entity and directors for Reg #2165
