company_id,legal_name,normalized_name,cin,company_status,website,domain,registered_office,parent_group,public_company,source_ids,verified_date,notes
gs-company-goodricke-group-ltd,Goodricke Group Limited,goodricke group limited,L01132WB1977PLC031054,active,https://www.goodricke.com,goodricke.com,"Camellia House, 14 Gurusaday Road, Kolkata 700019",Camellia Plc,yes,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|https://www.goodricke.com/contact-us|https://goodricketea.com/pages/our-gardens,2026-09-02,Current company details checked on company website.
gs-company-roopacherra-tea-co-ltd,Roopacherra Tea Co. Ltd.,roopacherra tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-rydak-syndicate-ltd,Rydak Syndicate Ltd.,rydak syndicate limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-the-dibrugarh-company-limited,The Dibrugarh Company Limited,dibrugarh company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-bhatkawa-tea-industries-ltd,Bhatkawa Tea Industries Ltd.,bhatkawa tea industries limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-binaguri-tea-co-pvt-ltd,Binaguri Tea Co. Pvt. Ltd.,binaguri tea company private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-mcleod-russel-india-ltd,McLeod Russel India Limited,mcleod russel india limited,,active,https://www.mcleodrussel.com,mcleodrussel.com,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",Williamson Magor Group,yes,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|https://www.mcleodrussel.com/business/our-operations.aspx|https://www.mcleodrussel.com/business/india.aspx,2026-09-02,Current company details checked on company website.
gs-company-dewakipur-tea-plantations-pvt-ltd,Dewakipur Tea Plantations (Pvt.) Ltd.,dewakipur tea plantations private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-the-bengal-duars-national-tea-co-ltd,The Bengal Dooars National Tea Co. Ltd.,bengal duars national tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-surajgovind-pvt-ltd,Surajgovind Estate Pvt. Ltd.,surajgovind estate private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
