garden_id,alias,normalized_alias,alias_type,source_id,confidence,reviewed,notes
gs-dooars-aibheel,Aibheel,aibheel,source,tea-gis-jalpaiguri-atlas-2015,high,yes,
gs-dooars-aibheel,Aibheel Tea Estate,aibheel,generated_search,generated,medium,no,
gs-dooars-aibheel,Aibheel Tea Garden,aibheel,generated_search,generated,medium,no,
gs-dooars-aibheel,Aibheel T.E.,aibheel,generated_search,generated,medium,no,
gs-dooars-aibheel,Aibheel T.G.,aibheel,generated_search,generated,medium,no,
gs-dooars-amarpur,Amarpur,amarpur,source,tea-gis-jalpaiguri-atlas-2015,high,yes,
gs-dooars-amarpur,Amarpur Tea Estate,amarpur,generated_search,generated,medium,no,
gs-dooars-amarpur,Amarpur Tea Garden,amarpur,generated_search,generated,medium,no,
gs-dooars-amarpur,Amarpur T.E.,amarpur,generated_search,generated,medium,no,
gs-dooars-amarpur,Amarpur T.G.,amarpur,generated_search,generated,medium,no,
gs-dooars-ambari,Ambari,ambari,source,tea-gis-jalpaiguri-atlas-2015,high,yes,
gs-dooars-ambari,Ambari Tea Estate,ambari,generated_search,generated,medium,no,
gs-dooars-ambari,Ambari Tea Garden,ambari,generated_search,generated,medium,no,
gs-dooars-ambari,Ambari T.E.,ambari,generated_search,generated,medium,no,
gs-dooars-ambari,Ambari T.G.,ambari,generated_search,generated,medium,no,
gs-dooars-anandapur,Anandapur,anandapur,source,tea-gis-jalpaiguri-atlas-2015,high,yes,
gs-dooars-anandapur,Anandapur Tea Estate,anandapur,generated_search,generated,medium,no,
gs-dooars-anandapur,Anandapur Tea Garden,anandapur,generated_search,generated,medium,no,
gs-dooars-anandapur,Anandapur T.E.,anandapur,generated_search,generated,medium,no,
gs-dooars-anandapur,Anandapur T.G.,anandapur,generated_search,generated,medium,no,
gs-dooars-bagrakote,Bagrakote,bagrakote,source,tea-gis-jalpaiguri-atlas-2015,high,yes,
gs-dooars-bagrakote,Bagrakote Tea Estate,bagrakote,generated_search,generated,medium,no,
gs-dooars-bagrakote,Bagrakote Tea Garden,bagrakote,generated_search,generated,medium,no,
gs-dooars-bagrakote,Bagrakote T.E.,bagrakote,generated_search,generated,medium,no,
