garden_id,company_id,relationship,valid_from,valid_to,current_claim,confidence,source_id,verified_date,notes
gs-dooars-aibheel,gs-company-goodricke-group-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-anandapur,gs-company-roopacherra-tea-co-ltd,company_reported_in_atlas,,,historical_only,medium,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-baradighi,gs-company-rydak-syndicate-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-beech,gs-company-the-dibrugarh-company-limited,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-bhatkowa,gs-company-bhatkawa-tea-industries-ltd,company_reported_in_atlas,,,historical_only,medium,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-binaguri,gs-company-binaguri-tea-co-pvt-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-central-duars,gs-company-mcleod-russel-india-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-debipur,gs-company-dewakipur-tea-plantations-pvt-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-denguajhar,gs-company-goodricke-group-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-dhowlajhora,gs-company-the-bengal-duars-national-tea-co-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-dima,gs-company-surajgovind-pvt-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-ethelbarie,gs-company-the-ethelbari-tea-company-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-garganda,gs-company-duncans-industries-limited,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-hope,gs-company-goodricke-group-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-jainti,gs-company-mcleod-russel-india-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-jaldacca-altadanga,gs-company-jaldacca-tea-plantation-pvt-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-jiti,gs-company-goodricke-group-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-jogesh-chandra,gs-company-malhati-tea-and-industries-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-kailashpur,gs-company-the-friends-tea-company-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-kalabari,gs-company-the-eastern-tea-company-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-karala-valley,gs-company-darjeeling-duars-plantations-tea-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-karballa,gs-company-andrew-yule-and-company-limited,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-madhu,gs-company-goodricke-group-ltd,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
gs-dooars-majherdabri,gs-company-rangpur-tea-association-limited,company_reported_in_atlas,,,historical_only,high,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Atlas-era company relationship. Do not treat as current without newer evidence.
