garden_id,canonical_name,normalized_name,current_status,status_confidence,status_checked_date,district_current,subdivision_or_block,tea_board_registration,atlas_index,historical_area_ha,tea_area_ha,current_company_id,current_owner_confidence,last_material_event_date,contact_confirmed_active,research_state,prospect_eligibility,exclusion_reason,source_ids,notes
gs-dooars-aibheel,Aibheel,aibheel,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,B-81,1,1508.1,842.64,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-amarpur,Amarpur,amarpur,unknown,unknown,,Jalpaiguri,Jalpaiguri,2810/2811,2,80.5,70.33,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-ambari,Ambari,ambari,unknown,unknown,,Jalpaiguri,Nagrakata,P-1,3,707.37,587.10,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-anandapur,Anandapur,anandapur,unknown,unknown,,Jalpaiguri,Matelli,52,4,631.71,402.23,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-bagrakote,Bagrakote,bagrakote,unknown,unknown,,Jalpaiguri,Matelli,B-2625,5,808.63,488.89,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-baintgoorie,Baintgoorie,baintgoorie,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,2626,6,1056.83,657.93,gs-company-diana-tea-company-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,bamandanga tondoo,likely_active,medium,2026-09-02,Jalpaiguri,,2382 & 2383,7,734.25,460.46,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-banarhat,Banarhat,banarhat,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,2767,8,796.94,634.21,gs-company-andrew-yule-and-company-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-baradighi,Baradighi,baradighi,active_confirmed,high,2026-09-02,,Mainaguri,N-12,9,861.47,542,gs-company-rydak-syndicate-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-batabari,Batabari,batabari,unknown,unknown,,Jalpaiguri,Matelli,1612,10,487.59,299.59,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-beech,Beech,beech,unknown,unknown,,Alipurduar,Kalchini,P-6,11,934.66,785.63,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-bhandiguri,Bhandiguri,bhandiguri,unknown,unknown,,,Rajganj,30,12,392.36,320.19,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-bharnobari,Bharnobari,bharnobari,unknown,unknown,,Alipurduar,Kalchini,P-7,13,867.49,726.74,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-bhatkowa,Bhatkowa,bhatkowa,unknown,unknown,,Alipurduar,Kalchini,E-23,14,783.46,625.14,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-bhatpara,Bhatpara,bhatpara,unknown,unknown,,Alipurduar,Kalchini,2579,15,1251.44,631.97,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
