review_id,review_type,garden_id,candidate_id,source_id,source_name,candidate_name,match_score,reason,source_url,created_date,status
identity-gs-dooars-chhaophali,identity_resolution,gs-dooars-chhaophali,directory-7,tea-board-wb-directory-2013,CHHAOPHALI TEA ESTATE,Chalouni,0.4,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-chulsa,identity_resolution,gs-dooars-chulsa,directory-8,tea-board-wb-directory-2013,CHULSA TEA ESTATE,Chinchula,0.4694,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-dagapur,identity_resolution,gs-dooars-dagapur,directory-9,tea-board-wb-directory-2013,DAGAPUR,Anandapur,0.5825,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-nagaisuree,identity_resolution,gs-dooars-nagaisuree,directory-24,tea-board-wb-directory-2013,NAGAISUREE,Dagapur,0.455,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-ranicherra,identity_resolution,gs-dooars-ranicherra,directory-31,tea-board-wb-directory-2013,RANICHERRA TEA ESTATE,Chuniajhora,0.35,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-rungamuttee,identity_resolution,gs-dooars-rungamuttee,directory-32,tea-board-wb-directory-2013,RUNGAMUTTEE TEA ESTATE,Zurantee,0.3559,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-washabarietea,identity_resolution,gs-dooars-washabarietea,directory-36,tea-board-wb-directory-2013,WASHABARIETEA ESTATE,Washabarie,0.8088,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-zurrantee-tea,identity_resolution,gs-dooars-zurrantee-tea,directory-37,tea-board-wb-directory-2013,ZURRANTEE TEA,Zurantee,0.7517,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-joypur,identity_resolution,gs-dooars-joypur,directory-41,tea-board-wb-directory-2013,JOYPUR,Raipur,0.455,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-konpakri-agro-industries-p,identity_resolution,gs-dooars-konpakri-agro-industries-p,directory-43,tea-board-wb-directory-2013,KONPAKRI AGRO INDUSTRIES (P),Bagrakote,0.2257,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
identity-gs-dooars-nandan,identity_resolution,gs-dooars-nandan,directory-44,tea-board-wb-directory-2013,NANDAN TEA ESTATE,Anandapur,0.6328,Directory record was retained for coverage but still needs duplicate and identity review.,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,2026-09-01,open
