garden_id,canonical_name,alias,query,priority
gs-dooars-aibheel,Aibheel,Aibheel,"""Aibheel"" owner company acquisition sale lease Dooars",normal
gs-dooars-aibheel,Aibheel,Aibheel,"""Aibheel"" reopened production factory active Dooars",normal
gs-dooars-aibheel,Aibheel,Aibheel,"""Aibheel"" new management director manager Dooars",normal
gs-dooars-aibheel,Aibheel,Aibheel,"""Aibheel"" closed suspended workers Dooars",normal
gs-dooars-amarpur,Amarpur,Amarpur,"""Amarpur"" owner company acquisition sale lease Dooars",high
gs-dooars-amarpur,Amarpur,Amarpur,"""Amarpur"" reopened production factory active Dooars",high
gs-dooars-amarpur,Amarpur,Amarpur,"""Amarpur"" new management director manager Dooars",high
gs-dooars-amarpur,Amarpur,Amarpur,"""Amarpur"" closed suspended workers Dooars",high
gs-dooars-ambari,Ambari,Ambari,"""Ambari"" owner company acquisition sale lease Dooars",high
gs-dooars-ambari,Ambari,Ambari,"""Ambari"" reopened production factory active Dooars",high
gs-dooars-ambari,Ambari,Ambari,"""Ambari"" new management director manager Dooars",high
gs-dooars-ambari,Ambari,Ambari,"""Ambari"" closed suspended workers Dooars",high
gs-dooars-anandapur,Anandapur,Anandapur,"""Anandapur"" owner company acquisition sale lease Dooars",high
gs-dooars-anandapur,Anandapur,Anandapur,"""Anandapur"" reopened production factory active Dooars",high
gs-dooars-anandapur,Anandapur,Anandapur,"""Anandapur"" new management director manager Dooars",high
gs-dooars-anandapur,Anandapur,Anandapur,"""Anandapur"" closed suspended workers Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagrakote,"""Bagrakote"" owner company acquisition sale lease Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagrakote,"""Bagrakote"" reopened production factory active Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagrakote,"""Bagrakote"" new management director manager Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagrakote,"""Bagrakote"" closed suspended workers Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagracote Tea Garden,"""Bagracote Tea Garden"" owner company acquisition sale lease Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagracote Tea Garden,"""Bagracote Tea Garden"" reopened production factory active Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagracote Tea Garden,"""Bagracote Tea Garden"" new management director manager Dooars",high
gs-dooars-bagrakote,Bagrakote,Bagracote Tea Garden,"""Bagracote Tea Garden"" closed suspended workers Dooars",high
gs-dooars-baintgoorie,Baintgoorie,Baintgoorie,"""Baintgoorie"" owner company acquisition sale lease Dooars",high
gs-dooars-baintgoorie,Baintgoorie,Baintgoorie,"""Baintgoorie"" reopened production factory active Dooars",high
gs-dooars-baintgoorie,Baintgoorie,Baintgoorie,"""Baintgoorie"" new management director manager Dooars",high
gs-dooars-baintgoorie,Baintgoorie,Baintgoorie,"""Baintgoorie"" closed suspended workers Dooars",high
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga Tondoo,"""Bamandanga Tondoo"" owner company acquisition sale lease Dooars",normal
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga Tondoo,"""Bamandanga Tondoo"" reopened production factory active Dooars",normal
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga Tondoo,"""Bamandanga Tondoo"" new management director manager Dooars",normal
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga Tondoo,"""Bamandanga Tondoo"" closed suspended workers Dooars",normal
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga,"""Bamandanga"" owner company acquisition sale lease Dooars",normal
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga,"""Bamandanga"" reopened production factory active Dooars",normal
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga,"""Bamandanga"" new management director manager Dooars",normal
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,Bamandanga,"""Bamandanga"" closed suspended workers Dooars",normal
