garden_id,canonical_name,subdivision_or_block,district_current,current_status,tea_board_registration,tea_area_ha,company_name,office_city,office_address,contact_person,contact_phone,contact_email,prospect_eligibility,exclusion_reason,source_id,notes
gs-dooars-kalchini,Kalchini,Kalchini,Alipurduar,likely_active,2532,742.15,Buxa Dooars Tea Company (India) Limited,Siliguri,Om Place Ashrampara Siliguri,Roshanlal Agarwal,+91-9434086855,buxadooars.teaestate@gmail.com,target_candidate,,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 171.
gs-dooars-raimatang,Raimatang,Kumargram,Alipurduar,likely_active,2533,535.27,Buxa Dooars Tea Company (India) Limited,Siliguri,Om Place Ashrampara Siliguri,Roshanlal Agarwal,+91-9434086855,buxadooars.teaestate@gmail.com,target_candidate,,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 286.
gs-dooars-torsa,Torsa,Madarihat,Alipurduar,likely_active,65,482,Majherdabri Tea Company Limited,Siliguri,3rd Floor Apollo Tower Sevoke Road Siliguri 734401,Giriraj Agarwal,+91-9832039123,dabritea@yahoo.co.in,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Siliguri office identified via operating company records.
gs-dooars-atiabari,Atiabari,Kalchini,Alipurduar,unknown,725,556.57,ATIABARI TEA COMPANY LTD,Siliguri,"MR. NARENDRA BERLIA, 2ND MILE,233 SEOKE, ROAD,SILIGURI",MR. NARENDRA BERLIA,03532544704,sevokemotors@vsnl.net,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 162.
gs-dooars-buds,Buds,Mainaguri,Jalpaiguri,unknown,3901,20.74,BUDS TEA INDUSTRIES,Siliguri,"SUBRATA SAHA/DEBABRATA, SAGA, NEHRU ROAD, SILIGURI",SUBRATA SAHA/DEBABRATA,98320-63395,budstea@gmail.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 216.
gs-dooars-bundapani,Bundapani,Madarihat,Alipurduar,unknown,2381,529.56,ALIPURDUAR ENTERPRISES LTD,Siliguri,"RAKESH SRIVASTAVA, MAUGAL JYOTI BUILDING, GANESH RAM COMPOUND HC, ROAD SILIGURI",RAKESH SRIVASTAVA,9434049103,spaa-ltd@rediffmail.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 256.
gs-dooars-chhaophali,Chhaophali,Matelli,Jalpaiguri,unknown,3985,35.19,DUTTA AGRO PLANTATION PVT,Siliguri,"DUTTA AGRO PLANTATION PVT, LTD, RAJANI BAGAN, HILL ACRT ROAD, SILIGURI, DARJEELING, SILIGURI, DARJEELING, 1",SANJOY DUTTA,9832032095,,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 7.
gs-dooars-dahuk-valley,Dahuk Valley,Madarihat,Alipurduar,unknown,4169,174.802,USHA TEA CO PVT LTD,Siliguri,"SUNIL KUMAR KUNDU, 79, KUNDU BHAWAN, BIDHAN, ROAD, SILIGURI-734001, E-, Mail :sanjaykundu1970@yahoo.com",SUNIL KUMAR KUNDU,94340-21763,sanjaykundu1970@yahoo.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 257.
gs-dooars-dalsingpara,Dalsingpara,Falakata,Alipurduar,temporarily_closed,C-66,809.72,LAXMIKANT GAUR,Siliguri,"LAXMIKANT GAUR, MALNADY TE( P) LTD.,GOPAL, BHAWAN,2ND FLOOR,CHURCH, ROAD,SILIGURI BHAWAN,2ND, FLOOR,CHURCH ROAD,",LAXMIKANT GAUR,,,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 274.
gs-dooars-dhowlajhora,Dhowlajhora,Kumargram,Alipurduar,unknown,39,434,THE BENGAL DFOOARS,Siliguri,"THE BENGAL DFOOARS, NATIONAL TEA CO. LTD., CO",DEEPAK BERLIA,03561230106,deepakberlia@yahoo.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 278.
gs-dooars-jaldacca-altadanga,Jaldacca Altadanga,Nagrakata,Jalpaiguri,unknown,15,192.47,AJIT KUMAR AGARWAL,Siliguri,"V.D.DUA, AGARWALA HOUSE, 2ND MILE,, SEVOKE ROAD, SILIGURI",V.D.DUA,0353-2543857,teraitea@gmail.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 63.
gs-dooars-jogesh-chandra,Jogesh Chandra,Matelli,Jalpaiguri,unknown,148,463.39,MALHATI TEA AND INDS. LTD.,Siliguri,"MR.NARENDRA BARELIA, 233,SEVOKE ROAD, 2ND MILE,SILIGURI, WEST BENGAL.",Narendra Barelia,+91-9434048605,,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 16.
gs-dooars-katalguri,Katalguri,Nagrakata,Jalpaiguri,unknown,10,495.25,ARION AGENCIES PVT. LTD.,Siliguri,"NARENDRA BERLIA, M/S ARION AGENCIES PVT. LTD.,, 233, 2ND MILE SEVOKE ROAD,, SILIGURI",NARENDRA BERLIA,03532544704,sevokemotors@vsnl.net,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 66.
gs-dooars-kohinoor,Kohinoor,Kumargram,Alipurduar,unknown,38,467.3,KOHINOOR TEA CO. PVT. LTD.,Siliguri,"MR. S.AGARWAL, M/S KOHINOOR TEA CO. PVT., LTD. BORDHAMAN ROAD,SILIGURI LTD. BORDHAMAN ROAD,SILIGURI",MR. S.AGARWAL,03536452463,,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 280.
gs-dooars-majherdabri,Majherdabri,Alipurduar,Alipurduar,unknown,175,382.27,Majherdabri Tea Company Limited,Siliguri,3rd Floor Apollo Tower Sevoke Road Siliguri 734401,Giriraj Agarwal,+91-9832039123,dabritea@yahoo.co.in,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 315.
gs-dooars-malnuddy,Malnuddy,Matelli,Jalpaiguri,unknown,28,97.69,"MALNADY TEA ESTATE PVT. LTD., MALNADY TEA ESTATE PVT. LTD.,",Siliguri,"GOPAL BHAWAN, 2ND FLOOR,, CHURCH ROAD, SILIGURI-1",,03532432548,,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 20.
gs-dooars-nandan,Nandan,Jalpaiguri,Jalpaiguri,unknown,3818,25.12,CHUNIAJHORA TEA CO LTD,Siliguri,"ANAND KUMAR AGARWAL, K. C. DEY ROAD, SILIGURI-734401, C - CTC",ANAND KUMAR AGARWAL,9933020942,,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 44.
gs-dooars-newglenceco,Newglenceco,Matelli,,unknown,2390,349.78,SOONGACHI TEA INDUSTRIES (P),Siliguri,"SOONGACHI TEA INDUSTRIES (P), LTD, COG, ROAD,SILIGURI",S.K.SARIA,03532510831,soongachi@gmail.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 27.
gs-dooars-parbati-and-gouranga,Parbati And Gouranga,Jalpaiguri,Jalpaiguri,unknown,3826,27.68,GOURANGA PARBATI TEA CO PVT DILIP DAS AND PRADIP DAS,Siliguri,"TILAK ROAD, HAKIMPARA,, SILIGURI",,9832092716,,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 46.
gs-dooars-raja,Raja,Matelli,Jalpaiguri,unknown,2293,417.67,ABHIJIT TEA CO.(P) LTD.,Siliguri,"MR.V.D.DUA, AGARWAL, HOUSE, 2ND MILE,, SEVOKE ROAD, SILIGURI",MR.V.D.DUA,03532543857,teraitea@gmail.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 30.
gs-dooars-ramjhora,Ramjhora,Madarihat,Alipurduar,temporarily_closed,59,452.75,HIND TEA COMPANY LIMITED,Siliguri,"NARENDRA BERLIA, M/S HIND TEA CO. LTD., 233, 2ND, MILE SEVOKE ROAD SILIGURI",NARENDRA BERLIA,03532544704,sevokemotors@vsnl.net,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 267.
gs-dooars-red-bank,Red Bank,Nagrakata,Jalpaiguri,unknown,1956,361.63,ROSHANLAL AGARWAL,Siliguri,"N K BASU, O M PALACE, ASHRAMPARA,, SILIGURI, E-, m",N K BASU,0353-2640068,buxadoorsteaestates@gmail.co,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 77.
gs-dooars-shikarpur,Shikarpur,Rajganj,,unknown,1615,612.02,SHIKARPUR & BHANDAPUR TEA,Siliguri,"NARENDRA BERLIA, SEVOKE ROAD, SILIGURI, SEVOKE ROAD, SILIGURI",NARENDRA BERLIA,9434048605,goyal_rahul1@hotmail.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 233.
gs-dooars-soongachi,Soongachi,Matelli,,unknown,A-6,639.42,G.D. AGARWAL,Siliguri,"S.K. SARIA, ANJU ENCLAVE, TEA AUCTION, ROAD, SILIGURI-3",S.K. Saria,+91-9434001426,soongachi@gmail.com,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 34.
gs-dooars-surendra-nagar,Surendra Nagar,Nagrakata,Jalpaiguri,unknown,2415,172.16,ROSHANLAL AGARWAL,Siliguri,"NK BASU, O M PALACE , OM PALACE ,, ASHRAMPARA, SILIGURI,WB, E-, m, C - CTC",NK BASU,9434086855,buxadooarsteaestate@gmail.co,not_active,Not currently in an active status,tea-board-wb-directory-2013,Siliguri office identified via Tea Board directory row 79.
