company_id,company_name,domain,homepage_url,pages_crawled,emails,phones,person_contexts,crawl_date,do_not_use_without_reverification,notes
gs-company-goodricke-group-ltd,Goodricke Group Limited,goodricke.com,https://goodricke.com/,4,subrata@goodricke.com; investor.helpdesk@in.mpms.mufg.com; rta@cbmsl.com; chkarnab@goodricke.com; goodricke@goodricke.com,,Chairman | Chairman | Non- Executive Director | Managing Director and CEO | Managing Director and CEO | Director,2026-09-13,yes,
gs-company-indong-tea-company-limited,Indong Tea Company Limited,indongteaco.com,https://indongteaco.com/,4,indong@asiangroup.in; cs@indongteaco.com; indongte74@gmail.com; cameo@cameoindia.com,,SRI HARIRAM GARG - MANAGING DIRECTOR | SRI MADANLAL GARG – EXECUTIVE DIRECTOR | SRI RAJESH GARG – NON-EXECUTIVE DIRECTOR | SMT. RAMA GARG – WOMEN CUM NON-EXECUTIVE DIRECTOR | SRI AKHIL KUMAR MANGLIK – INDEPENDENT DIRECTOR | SRI SUSHIL KUMAR NEVATIA – INDEPENDENT DIRECTOR,2026-09-13,yes,
gs-company-andrew-yule-and-company-limited,Andrew Yule & Company Limited,andrewyule.com,https://andrewyule.com/,5,cvo@andrewyule.com; dir.plg@andrewyule.com; somenath.maitra@andrewyule.com; com.sec@andrewyule.com; webfil@dataone.in,,Reg. 30 - Sanjay Verma as Director (Finance) 29.11.2023 | Recruitment to the Post of Dy Manager (Sales & Marketing) | Digital partner Shyam Future Tech | Digital partner Shyam Future Tech | Digital partner Shyam Future Tech | Digital partner Shyam Future Tech,2026-09-13,yes,
gs-company-mcleod-russel-india-ltd,Mcleod Russel India Limited,mcleodrussel.com,https://mcleodrussel.com/,4,tea.marketing@mcleodrussel.com; tea@mcleodrussel.com; administrator@mcleodrussel.com; mcleod_investors@mcleodrussel.com; ritwik.palchoudhuri@mcleodrussel.com,,Resignation Letter from Mr. S N Menon (Director) | Resignation Letter from Mr. S N Menon (Director) | Resignation Letter from Mr. S N Menon (Director) | Chairman. | Resignation Letter from Mr. S N Menon (Director) | Resignation Letter from Mr. S N Menon (Director),2026-09-13,yes,
gs-company-diana-tea-company-limited,Diana Tea Company Limited,dianatea.in,https://dianatea.in/,3,contactus@dianatea.in; mdpldc@yahoo.com,,Managing Director | Wholetime Director designated as Sales & Marketing | Non-Executive Independent Director | Non-Executive Independent Director | Non-Executive Independent Director | Wholetime Director,2026-09-13,yes,
gs-company-gillanders-arbuthnot-and-co-limited,Gillanders Arbuthnot & Co. Limited,gillandersarbuthnot.com,https://gillandersarbuthnot.com/,3,gillanders@gillandersarbuthnot.com; company.secretary@gillandersarbuthnot.com; skdhand@gillandersarbuthnot.com; konar.utpal@gillanderarbuthnot.com; kumar.vijay@gillandersarbuthnot.com,8697718687; +91 9331841312,"Appt. Letter Issue / To Be Issued to the Independent Director | Office of the Zonal Joint Director General of Foreign Trade, Ministry of Commerce and Industry, India has issued a Certificate of Recognition dated | Appt. Letter Issue / To Be Issued to the Independent Director | Appt. Letter Issue / To Be Issued to the Independent Director | Contact Person : Company Secretary & Compliance Officer | company.secretary@gillandersarbuthnot.com",2026-09-13,yes,
gs-company-rydak-syndicate-limited,Rydak Syndicate Limited,rydaksyndicate.com,https://rydaksyndicate.com/,4,contact@rydaksyndicate.com,,Bank Manager | Managing Director | Company secretary,2026-09-13,yes,
gs-company-octavius-tea-and-industries-ltd,Octavius Tea & Industries Limited,octavius.in,https://octavius.in/,4,hrd@octavius.in; info@octavius.in,+91 9313530035; +91 9313530038,,2026-09-13,yes,
gs-company-amalgamated-plantations-pvt-ltd,Amalgamated Plantations Private Limited,amalgamatedplantations.co.in,https://amalgamatedplantations.co.in/,0,,,,2026-09-13,yes,Errors: fetch failed
,Terai Tea Group (Siliguri HQ),teraigroup.com,https://teraigroup.com/,4,terai@cal2.vsnl.net.in; slg_teraitea@sancharnet.in; teraitea@gmail.com,033-46039789; 9933002237; 9434047613; 9434061204; 9933002236,"b) Company Secretary & Complaince Officer of Terai Tea Company Limited | 1) Jain Sonesh & Associates &ndash; Mr. Sonesh Jain, Proprietor of the Firm | 2) Mr. Shambhu Ghosh &ndash; CEO",2026-09-13,yes,
