garden_id,garden,status,eligibility,owner_company,company_id,hq_city,hq_source,hq_address,owner_evidence,notes
gs-dooars-aibheel,Aibheel,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-baintgoorie,Baintgoorie,active_confirmed,excluded_large_group,Diana Tea Company Limited,gs-company-diana-tea-company-limited,Kolkata,registered_office,"Sir RNM House, 4th Floor, 3B, Lal Bazar Street, Kolkata 700001",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-banarhat,Banarhat,active_confirmed,excluded_large_group,Andrew Yule & Company Limited,gs-company-andrew-yule-and-company-limited,Kolkata,registered_office,"Yule House, 8 Dr. Rajendra Prasad Sarani, Kolkata 700001",owner_or_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-baradighi,Baradighi,active_confirmed,excluded_large_group,Rydak Syndicate Limited,gs-company-rydak-syndicate-limited,Kolkata,registered_office,"4, Dr. Rajendra Prasad Sarani (Clive Row), Kolkata 700001",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-central-duars,Central Dooars,active_confirmed,excluded_large_group,Mcleod Russel India Limited,gs-company-mcleod-russel-india-ltd,Kolkata,registered_office,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",owner_or_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-chalouni,Chalouni,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-choonabhuti,Choonabhuti,active_confirmed,excluded_large_group,Andrew Yule & Company Limited,gs-company-andrew-yule-and-company-limited,Kolkata,registered_office,"Yule House, 8 Dr. Rajendra Prasad Sarani, Kolkata 700001",owner_or_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-chulsa,Chulsa,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-damdim,Damdim,active_confirmed,excluded_large_group,Amalgamated Plantations Private Limited,gs-company-amalgamated-plantations-pvt-ltd,Kolkata,registered_office,"1 Bishop Lefroy Road, Kolkata 700020",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-denguajhar,Denguajhar,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-gairkhata,Gairkhata,active_confirmed,excluded_large_group,Gillanders Arbuthnot & Co. Limited,gs-company-gillanders-arbuthnot-and-co-limited,Kolkata,registered_office,"C-4, Gillander House, 8 Netaji Subhas Road, Kolkata 700001",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-gandrapara,Gandrapara,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-goodhope,Goodhope,active_confirmed,excluded_large_group,Diana Tea Company Limited,gs-company-diana-tea-company-limited,Kolkata,registered_office,"Sir RNM House, 4th Floor, 3B, Lal Bazar Street, Kolkata 700001",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-hope,Hope,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-indong,Indong,active_confirmed,excluded_large_group,Indong Tea Company Limited,gs-company-indong-tea-company-limited,Kolkata,registered_office,"Sikkim Commerce House, 4/1 Middleton Street, Kolkata 700071",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-jiti,Jiti,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-kalabari,Kalabari,active_confirmed,excluded_large_group,Rydak Syndicate Limited,gs-company-rydak-syndicate-limited,Kolkata,registered_office,"4, Dr. Rajendra Prasad Sarani (Clive Row), Kolkata 700001",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-karballa,Karballa,active_confirmed,excluded_large_group,Andrew Yule & Company Limited,gs-company-andrew-yule-and-company-limited,Kolkata,registered_office,"Yule House, 8 Dr. Rajendra Prasad Sarani, Kolkata 700001",owner_or_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-kartick,Kartick,active_confirmed,excluded_large_group,Rydak Syndicate Limited,gs-company-rydak-syndicate-limited,Kolkata,registered_office,"4, Dr. Rajendra Prasad Sarani (Clive Row), Kolkata 700001",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-kumargram,Kumargram,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
gs-dooars-lakhipara,Lakhipara,active_confirmed,excluded_large_group,Goodricke Group Limited,gs-company-goodricke-group-ltd,Kolkata,registered_office,"Camellia House, 14 Gurusaday Road, Kolkata 700019",owner_and_operator (current_candidate),Rejected: public company or large multi-estate group.
