garden_id,garden,status,eligibility,owner_company,company_id,hq_city,hq_source,hq_address,owner_evidence,notes
gs-dooars-bamandanga-tondoo,Bamandanga Tondoo,likely_active,target_candidate,,,,,,,No owner company known. Start from historical owner names or the Siliguri office route.
gs-dooars-kumlai,Kumlai,likely_active,target_candidate,,,,,,,No owner company known. Start from historical owner names or the Siliguri office route.
gs-dooars-samsing,Samsing,likely_active,target_candidate,,,,,,,No owner company known. Start from historical owner names or the Siliguri office route.
gs-dooars-dheklapara,Dheklapara,temporarily_closed,not_active,,,,,,,No owner company known. Start from historical owner names or the Siliguri office route.
gs-dooars-raipur,Raipur,temporarily_closed,not_active,Subrata Saha,gs-company-subrata-saha,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-sonali,Sonali,temporarily_closed,not_active,Shri Rajhesh Jhunjhunwala,gs-company-shri-rajhesh-jhunjhunwala,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-amarpur,Amarpur,unknown,not_active,Amarpur Tea Plantations LTD Alok Chamaria,gs-company-amarpur-plantations-ltd-alok-chamaria,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-bhandiguri,Bhandiguri,unknown,not_active,Arun Kumar Mundra,gs-company-arun-kumar-mundra,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-chuniajhora,Chuniajhora,unknown,not_active,,,,,,,No owner company known. Start from historical owner names or the Siliguri office route.
gs-dooars-debipur,Debipur,unknown,not_active,,,,,,,No owner company known. Start from historical owner names or the Siliguri office route.
gs-dooars-gopimohan,Gopimohan,unknown,not_active,Jahuri Durga Tea Co (P) LTD,gs-company-jahuri-durga-co-p-ltd,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-jadabpur,Jadabpur,unknown,not_active,Jadabpur Tea Co LTD,gs-company-jadabpur-co-ltd,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-jalpara,Jalpara,unknown,not_active,,,,,,,No owner company known. Start from historical owner names or the Siliguri office route.
gs-dooars-joypur,Joypur,unknown,not_active,Sunny Valley Tea &,gs-company-sunny-valley-and,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-kailashpur,Kailashpur,unknown,not_active,The Friends Tea Company Ltd. Mr. Ranjit Balow,gs-company-the-friends-company-ltd-mr-ranjit-balow,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-kathaldhura,Kathaldhura,unknown,not_active,Kanchan Tree Plantations,gs-company-kanchan-tree-plantations,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-konpakri,Konpakri,unknown,not_active,Konpakri Agro Indus. (P) LTD Purojit Bakshi Gupta,gs-company-konpakri-agro-indus-p-ltd-purojit-bakshi-gupta,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-lakhikanta,Lakhikanta,unknown,not_active,Rungamati Tea Industries,gs-company-rungamati-industries,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
gs-dooars-makrapara,Makrapara,unknown,not_active,Anoop Tea Co (Pvt) LTD,gs-company-anoop-co-pvt-ltd,,,,owner_reported_in_directory (historical_only),Historical owner only. Confirm the current owner company on MCA.
