company_id,legal_name,cin,company_status,website,domain,registered_office,parent_group,public_company,verified_date,source_url,notes
gs-company-goodricke-group-ltd,Goodricke Group Limited,L01132WB1977PLC031054,active,https://www.goodricke.com,goodricke.com,"Camellia House, 14 Gurusaday Road, Kolkata 700019",Camellia Plc,yes,2026-09-02,https://www.goodricke.com/contact-us,Current company details checked on company website.
gs-company-indong-tea-company-limited,Indong Tea Company Limited,U01122WB1990PLC050506,active,https://www.indongteaco.com,indongteaco.com,"Sikkim Commerce House, 4/1 Middleton Street, Kolkata 700071",,yes,2026-09-02,https://www.indongteaco.com/contact-us.html,Current company details checked on company website.
gs-company-andrew-yule-and-company-limited,Andrew Yule & Company Limited,L63090WB1919GOI003229,active,https://www.andrewyule.com,andrewyule.com,"Yule House, 8 Dr. Rajendra Prasad Sarani, Kolkata 700001",Government of India,yes,2026-09-02,https://www.andrewyule.com/contact.php,Current company details checked on company website.
gs-company-mcleod-russel-india-ltd,McLeod Russel India Limited,,active,https://www.mcleodrussel.com,mcleodrussel.com,"Four Mangoe Lane, Surendra Mohan Ghosh Sarani, Kolkata 700001",Williamson Magor Group,yes,2026-09-02,https://www.mcleodrussel.com/business/our-operations.aspx,Current company details checked on company website.
gs-company-diana-tea-company-limited,Diana Tea Company Limited,L15495WB1911PLC002275,active,https://www.dianatea.in,dianatea.in,"Sir RNM House, 4th Floor, 3B, Lal Bazar Street, Kolkata 700001",,yes,2026-09-02,https://www.dianatea.in/contact-us.php,Current company details checked on company website.
gs-company-gillanders-arbuthnot-and-co-limited,Gillanders Arbuthnot & Co. Limited,L51909WB1935PLC008194,active,https://www.gillandersarbuthnot.com,gillandersarbuthnot.com,"C-4, Gillander House, 8 Netaji Subhas Road, Kolkata 700001",Kothari Group,yes,2026-09-02,https://www.gillandersarbuthnot.com/tea-division/,Current company details checked on company website.
gs-company-rydak-syndicate-limited,Rydak Syndicate Limited,L65993WB1900PLC001417,active,https://www.rydaksyndicate.com,rydaksyndicate.com,"4, Dr. Rajendra Prasad Sarani (Clive Row), Kolkata 700001",,yes,2026-09-02,https://www.rydaksyndicate.com/tea-estates/,Current company details checked on company website.
gs-company-octavius-tea-and-industries-ltd,Octavius Tea & Industries Limited,,active,https://www.octavius.in,octavius.in,"Kolkata, West Bengal",,yes,2026-09-02,https://www.octavius.in,Current company details checked on company website.
gs-company-amalgamated-plantations-pvt-ltd,Amalgamated Plantations Private Limited,U01132WB2007PTC112852,active,https://www.amalgamatedplantations.co.in,amalgamatedplantations.co.in,"1 Bishop Lefroy Road, Kolkata 700020",Tata Consumer Products / APPL,yes,2026-09-02,https://www.amalgamatedplantations.co.in,Current company details checked on company website. Corporate conglomerate excluded.
gs-company-majherdabri-authority,Majherdabri Tea Company Limited,,active,,,3rd Floor Apollo Tower Sevoke Road Siliguri 734401,,no,2026-09-13,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,Siliguri office managing Majherdabri and Torsa Tea Estate.
gs-company-buxa-dooars-tea-co,Buxa Dooars Tea Company (India) Limited,,active,,,Om Place Ashrampara Siliguri,,no,2026-09-13,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,Siliguri office managing Kalchini and Raimatang Tea Estate.
gs-company-soongachi-tea-industries,Soongachi Tea Industries Private Limited,,active,,,Arjun Enclave Tea Auction Road Siliguri 734001,,no,2026-09-13,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,Siliguri office managing Soongachi and New Glenco Tea Estate.
gs-company-malhati-tea-and-inds,Malhati Tea and Industries Limited,,active,,,233 Sevoke Road 2nd Mile Siliguri,,no,2026-09-13,https://www.teaboard.gov.in/pdf/notice/Tea%20Directory-West%20Bengal.pdf,Siliguri office managing Jogesh Chandra Tea Estate.
