evidence_id,garden_id,company_id,evidence_type,event_type,title,url,publisher,published_date,retrieved_date,language,supports_active,supports_inactive,ownership_from,ownership_to,relationship,confidence,manual_review,excerpt,notes
goodricke-aibheel-20260902,gs-dooars-aibheel,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Aibheel is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-chalouni-20260902,gs-dooars-chalouni,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Chalouni is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-chulsa-20260902,gs-dooars-chulsa,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Chulsa is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-danguajhar-20260902,gs-dooars-denguajhar,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Danguajhar is included in the current 12-garden Dooars list.,Linked to atlas spelling Denguajhar.
goodricke-gandrapara-20260902,gs-dooars-gandrapara,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Gandrapara is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-hope-20260902,gs-dooars-hope,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Hope is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-jiti-20260902,gs-dooars-jiti,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Jiti is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-kumargram-20260902,gs-dooars-kumargram,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Kumargram is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-lakhipara-20260902,gs-dooars-lakhipara,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Lakhipara is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
goodricke-leesh-river-20260902,gs-dooars-lessriver,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Leesh River is included in the current 12-garden Dooars list.,Linked to atlas spelling Lessriver.
