sl,name,type,region,district,company,decision_maker,hq_city,hq_address,phone,email,scale,reg_no
1,AIBHEEL TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,MR.A.N.SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,aib@goodricke.com,827.8 Ha,B-81
2,ANANDAPUR TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,NEW CHUMTA TEA CO. LTD,MR. H.K.SHARMA,Kolkata,"New Chumta Tea, New Chumta Tea garden PO - New Chumta PS - Matigara, Siliguri, West Bengal 734009",098008 82719,anandapurteaestate@yahoo.com,402.2 Ha,52
3,BAGRACOTE TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,DUNCANS INDUSTRIES LIMITED,MR. G.P. GOENKA,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,bagtg@duncan.tea.co.in,488.9 Ha,B-2625
4,BAINTGOORIE TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DIANA TEA CO. LTD.,MR.SANDEEP KUMER SINGHANIA,Kolkata,"4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",033 2248 8672,senguptaaloke@rediffmail.com,657.9 Ha,2626
5,BATABARI,Organized Estate,Dooars,Jalpaiguri,AMALGAMATED PLANTATIONS,DEEPAK ATAL,Assam,"Amalgamated Plantations Guwahati, GS Rd, Ananda Nagar, Christian Basti, Guwahati, Assam 781005",0361 234 0037,deepak.atal@amalgamated.in,299.6 Ha,1612
6,CHALOUNI,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,MR. ARUN SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,chalouni@goodricke.com,562.9 Ha,B-7
7,CHHAOPHALI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DUTTA AGRO PLANTATION PVT LTD,SANJOY DUTTA,Siliguri,"Dutta Agro Products Pvt Ltd., Kalna Rd, Gargeswar, Bardhaman, Jabui, West Bengal 713146",9733149174,-,35.2 Ha,3985
8,CHULSA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,MR.A.N.SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,chulsa@goodricke.com,442.6 Ha,B 26
9,DAGAPUR,Organized Estate,Dooars,Jalpaiguri,SUBLIME AGRO LTD.,SUBLIME AGRO LTD.,Kolkata,"Surobhi Agro Industries Pvt Ltd, Anwesha, opposite lahari dance institute, aam tala shiv than, Fartabad, Garia, Rajpur Sonarpur, West Bengal 700084",0353-2511305,sublimeagro@gmail.com,194.8 Ha,225
10,ELLENBARRIE TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,THE ELLENBARRIE TEA CO.LTD. SHANTI PROSAD AGARWALLA,746 BLOCK'P'NEW,Kolkata,"The Ellenbarrie Tea Co Limited, 3a, Ripon St, Block K, Taltala, Kolkata, West Bengal 700014",033 2229 1923,shanti.agarwala@ellenbarrie.co,229.5 Ha,2472
