unit_name,marks,state,source,source_page
TEA & INDUSTRIES LTD.) ARYAMAN TEA ESTATE(UNIT OF JAYSHREE TEA & INDUSTRIES LTD.),"ARYAMAN SPECIAL, ARYAMAN CLONAL, ARYAMAN SPECIAL 1, ARYAMAN CLONAL 1",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),1
ARYAN TEA PLANTATIONS PVT. LTD. ARYAN TEA PLANTATIONS PVT. LTD.,"MAZHABARI,DURGABARI ATAL TEA CO(1943) LTD. ATAL TEA FACTORY & ESTATE WEST",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),1
"MAZHABARI,DURGABARI ATAL TEA CO(1943) LTD. ATAL TEA FACTORY & ESTATE",ATAL AYAN TEA INDUSTRIESAYAN TEA FACTORY & STGS WEST,West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),1
ATAL AYAN TEA INDUSTRIESAYAN TEA FACTORY & STGS,"AYAN GOLD, PAROMITA, ANWESHA AMALGAMATED",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),1
Ltd. B N Bhowmick Tea Processing Pvt. Ltd.,"KOPAI, KOPAI XCLUSIVE BAIKUNTHPUR TEA MFG CO PVT LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),2
BAIKUNTHPUR TEA MFG CO PVT LTD BHATURBARI,"ANJANI GOLD,RAAGINI GOLD,BHATURBARI BALASON TEA COMPANY PVT",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),2
BROJENDRA PLANTATION PVT LTD BROJENDRA PLANTATION PVT LTD,"RANGEET PREMIUM, RANGEET ROYAL, RANGEET, RANGEET VALUE, KANTIVITA, KANTIVITA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),2
CACHAR KING PLANTATIONS PVT. LTD. CACHAR KING BLF & STG,"CACHAR KING DIAMOND, CACHAR KING PREMIUM, CACHAR KING,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),2
DARSHANANAND HOLDINGS PVT.LIMITED BAJRANG TEA FACTORY,"KAMAKSHI, CHITALGHATA DASPARA TEA ESTATE PVT.LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),3
DASPARA TEA ESTATE PVT.LTD DASPARA TEA ESTATE PVT.LTD,"DASPARA, DEVSAR, KALIGHAT DOOARS PLANTATIONS & INDS. LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),3
DOOARS PLANTATIONS & INDS. LTD PATKAPARA TEA ESTATE FACTORY,"PATKAPARA (GOLD), PATKAPARA Duke Tea Pvt. Ltd.DUKE TEA FACTORY & STG WEST",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),3
ESSEL FUNDS MANAGEMENT PVT LTD ESSEL FUNDS MANAGEMENT PVT LTD,"DHUMCHIBARI,SWASTIKA,SHREE KRISHNA DIAMOND, SHREE",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),3
EVERGREEN DOOARS TEA PVT LTD EVERGREEN DOOARS TEA PVT LTD,"BAGANBAHAR, BAGANBAHAR DIAMOND, BAGANBAHAR GOLD, BALARAMPUR, BHUTKIBARI,",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),4
GOPE TEA PLANTATION PVT LTD GOPE TEA ESTATE,"GOPE, GOPE SUPREME GOODRICKE GROUP LIMITED",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),5
HIGHLAND EXIM PVT LTDHIGHLAND EXIM FACTORY & STG,"AMONI, BIRA YELLOW, KESTOPUR HIMALAYAN TEA & AGRO PVT LTD - UNIT II",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
JAGSHAKTI TEA & AGRO PVT LTD JAGSHAKTI FACTORY & STG,"DHARLA PREMIUM, MOKRARI GOLD, DHARLA, MOKRARI, JAI SHANKAR TEA CO. PVT.",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
JAI SHANKAR TEA CO. PVT. LTD JAI SHANKAR TEA CO. PVT. LTD,"SONIBARI, KAILASH GOLD, AVIRAM GOLD, KAILASH TEA JALPAIGURI DUARS TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
COMPANY PRIVATE LIMITED JATINDRA MOHAN TEA COMPANY PVT LTD,"JATINDRA MOHAN GOLD, JATINDRA MOHAN TEA JAYSHREE TEA & INDUSTRIES",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
PVT LTD KAILASHGIRI CONSULTANT PVT LTD FACTORY & STG,"KAILASHGIRI, KAILASHGIRI GOLD, KAILASHGIRI DIAMOND KALINAGAR TEA & AGRO CO.",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
PVT. LTD. KALINAGAR TEA & AGRO CO. PVT. LTD.,"SONAAJULI, VEERPRIDE, KALIAPANI, KANAK KARJEEPARA TEA FACTORYKARJEEPARA TEA FACTORY",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
"SONAAJULI, VEERPRIDE, KALIAPANI, KANAK KARJEEPARA TEA FACTORYKARJEEPARA TEA FACTORY","PADMABARI, PADMABARI GOLD, KARJEEPARA, SANKALP KATYANI BEVERAGES AND",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
LIMITED KATYANI BEVERAGES AND AGRO PRODUCTS FACTORY,"BAIKANTHAPUR ROYAL, BAIKANTHAPUR,BAIKANTHAPUR SPECIAL",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
KAYAN AGRO INDUSTRIES & CO. PVT. LTD. KAYAN TEA FACTORY & STG,"SRIROYAL, MADHOBARI, HEEMALIPUR, NIPONBARI, KHARIBARRIE TE CO",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),6
KUKURJAN TEA PROCESSING PVT LTD KUKURJAN TEA FACTORY,"NIRANJANA, NIRANJANA ROYAL, KAMATHBARI DAMROO ROYAL KUMARIKA TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
TEA & INDUSTRIES LTD.) KUMARIKA TEA PROJECT(UNIT OF JAYSHREE TEA & INDUSTRIES LTD.),"KUMARIKA SPECIAL, KUMARIKA SPECIAL-1, KUMARIKA ROYAL, KUMARIKA GOLD, KUMARIKA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"KUMARIKA GOLD, KUMARIKA CLONAL, KUMARIKA CLONAL -1 , LUXMI TEA CO. PVT. LTDFULBARI TEA ESTATE",FULBARI HIGH GROWN M/S HIMALAYAN TEA & AGRO PVT. LTD.(UNIT- I),West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
PLANTATION PVT. LTD M/S NEW LEAF TEA PLANTATION PVT. LTD,"KABINI, NOYYAL, KABINI VALUE, NOYYAL VALUE, KABINI ROYAL, NOYYAL ROYAL , KABINI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
MALHATI TEA & INDUSTRIES LIMITED. JOGES CHANDRA TEA ESTATE,"JOGES CHANDRA, JOGES CHANDRA GOLD MANJUSHREE TEA COMPANYMANJUSHREE TEA COMPANY",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"JOGES CHANDRA, JOGES CHANDRA GOLD MANJUSHREE TEA COMPANYMANJUSHREE TEA COMPANY","MALAPARA SUPREME, MALAPARA GOLD, MALAPARA DIAMOND MANSARAVOR TEA PVT LTDMANSARAVOR TEA PVT LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"MALAPARA SUPREME, MALAPARA GOLD, MALAPARA DIAMOND MANSARAVOR TEA PVT LTDMANSARAVOR TEA PVT LTD","GUYABARI, GUYABARI GOLD, BANDHU NAGAR MARS TEA I NDIA PVT LTDMARS TEA I NDIA PVT LTD",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"GUYABARI, GUYABARI GOLD, BANDHU NAGAR MARS TEA I NDIA PVT LTDMARS TEA I NDIA PVT LTD","JEEVANMOTI,JEEVANMOTI VALUE,TAPTI,TAPTI VALUE,SARAMATI, SARAMATI",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
"VALUE,TAPTI,TAPTI VALUE,SARAMATI, SARAMATI MINU TEA INDUSTRIES MINU TEA FACTORY & STG","MINU GOLD, MINU TEA",West Bengal,Tea Board Trusttea VC Entities List (Doc 848378799),7
