Serial,Garden Name,Reg No,Region,District,Subdivision,Company Status,Grant Area (Ha),Tea Area (Ha),Association,Garden Address,Garden Phone,Garden Email,Owner / Company,Owner HQ Address,Owner Phone,Owner Fax,Owner Email,CEO / Principal,CEO Address,CEO Phone,CEO Email,HQ City
1,"AIBHEEL TEA GARDEN","B-81","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1508.1,827.84,"ITA","P.O. MATELLI,DIST.JALPAIGURI735223, -",,,"GOODRICKE GROUP LIMITED","CAMELLIA, HOUSE,14,GURUSADAY, ROAD,KOLKATA19","03322873969","03322872577","goodricke@goodricke.com","MR.A.N.SINGH","CAMELLIA, HOUSE,14,GURUSADAY, ROAD,KOLKATA19","990300999","goodricke@goodricke.com","Kolkata"
2,"ANANDAPUR TEA ESTATE","52","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",631.7,402.25,"ITA","P.O : ANANDAPUR, DIST.JALPAIGURI, WEST BENGAL.",,,"NEW CHUMTA TEA CO. LTD","MCLEOD HOUSE 3, N.S.ROAD, KOLKATA-700001","033-22489161","033-22489598","mail@ntcl.in","MR. H.K.SHARMA","NEW CHUMTA TEA CO., MCLEOD HOUSE 3, N.S.ROAD, KOLKATA-700001","033-22489161","mail@ntcl.in","Kolkata"
3,"BAGRACOTE TEA GARDEN","B-2625","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",808.63,488.89,"TRA","P.O. BAGRACOTE,DIST JALPAIGURI",,,"DUNCANS INDUSTRIES LIMITED","31,W.S. ROAD,KOLKATA-1","","","","MR. G.P. GOENKA","31,W.S. ROAD,KOLKATA-1","","","Kolkata"
4,"BAINTGOORIE TEA ESTATE","2626","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1056.83,657.93,"ITA","BAINTGOORIE T.E. P.O., MALBAZAR,DIST:JALPAIGURI(W.B.)",,,"DIANA TEA CO. LTD.","3,B LALBAZAR ST. KOLKATA-, 700001","03322488672","03322487571","contactus@dianatea.in","MR.SANDEEP KUMER SINGHANIA","3,B LALBAZAR ST. KOLKATA-, 700001","9831008677","contactus@dianatea.in","Kolkata"
5,"BATABARI","1612","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",487.59,299.59,"ITA","P.O. CHALSA, DIST: JALPAIGURI-, 735206",,,"AMALGAMATED PLANTATIONS","PRIVATE LIMITED, G.S. ROAD, DISPUR, P. BOX NO. 9, CH, CHRISTIAN BASTI, GUWAHATI-, 700851","03612341618","","deepak.atal@amalgamated.in","DEEPAK ATAL","G.S. ROAD, DISPUR, P. BOX NO. 9,, RISTIAN BASTI, GUWAHATI-, 700851","03612341618","deepak.atal@amalgamated.in","Assam"
6,"CHALOUNI","B-7","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",778.96,562.93,"ITA","P.O MATELLI, DIST- JALPAIGURI, W.B",,,"GOODRICKE GROUP LIMITED","CAMELLIA HOUSE, 14,, GURUSADAY ROAD, KOL-19","033-22873067","033-22872577","goodricke@.vsnl.com","MR. ARUN SINGH","CAMELLIA HOUSE, 14,, GURUSADAY ROAD, KOL-19","9903000999","goodricke@.vsnl.com","Kolkata"
7,"CHHAOPHALI TEA ESTATE","3985","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",35.294,35.19,"None","P.O-BATABARI, DIST-JALPAIGURI, W.B",,,"DUTTA AGRO PLANTATION PVT LTD","RAJANI BAGAN, HILL ACRT ROAD,, SILIGURI, DARJEELING","9832032095","","","SANJOY DUTTA","RAJANI BAGAN, HILL ACRT ROAD,, SILIGURI, DARJEELING","9832032095","","Siliguri"
8,"CHULSA TEA ESTATE","B 26","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",624.09,442.6,"TRA","POST-MATELLI, DIST-JALPAIGURI",,,"GOODRICKE GROUP LIMITED","14,GURUSADEY ROAD, CAMELLIA, HOUSE, KOLKATA-19","03322873067","","chulsa@goodricke.com","MR.A.N.SINGH","14,GURUSADEY ROAD, CAMELLIA, HOUSE, KOLKATA-19","03322873067","ansingh@goodricke.com","Kolkata"
9,"DAGAPUR","225","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",274.55,194.77,"TAI","DT DARJEELING, PO PRADHAN, NAGAR, WEST BENGAL",,,"SUBLIME AGRO LTD.","7/1, LORD SINHA ROAD, KOLKATA, 700 001","033-22820521","033-22822207","sublimeagro@gmail.com","SUBLIME AGRO LTD.","7/1, LORD SINHA ROAD, KOLKATA, 700 001","033-22820521","sublimeagro@gmail.com","Kolkata"
10,"ELLENBARRIE TEA ESTATE","2472","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",382.02,229.46,"ITPA","P.O., BAGRACOTE,DIST:JALPAIGURI,W.B.",,,"THE ELLENBARRIE TEA CO.LTD. SHANTI PROSAD AGARWALLA","746 BLOCK'P'NEW, ALIPOREK.L.SAIGOL, SARANI,KOLKATA53, E-, Mail :shanti.agarwala@ellenbarrie.co, m","03322291923","03322493396","shanti.agarwala@ellenbarrie.co","746 BLOCK'P'NEW","ALIPOREK.L.SAIGOL, SARANI,KOLKATA53, E-, Mail :shanti.agarwala@ellenbarrie.co, m","09735001710","shanti.agarwala@ellenbarrie.co","Kolkata"
