Target Company,Target HQ City,Associated Gardens,Match Status,Found Place Name,Formatted Address,City,PIN Code,Phone,Website,Latitude,Longitude,Rating,Reviews,Category,Place ID,Google Maps URL,Scraped At
"DUTTA AGRO PLANTATION PVT LTD","Siliguri","CHHAOPHALI TEA ESTATE","partial","Dutta Agro Products Pvt Ltd.","Dutta Agro Products Pvt Ltd., Kalna Rd, Gargeswar, Bardhaman, Jabui, West Bengal 713146","Siliguri","713146",,"http://duttaagroproducts.com/",23.2524996,88.0898273,4,35,"Rice mill","ChIJAZykrEpR-DkRaKAq2gQe0JE","https://www.google.com/maps/place/?q=place_id:ChIJAZykrEpR-DkRaKAq2gQe0JE","2026-09-14T11:27:50.078Z"
"MALHATI TEA AND INDS. LTD.","Siliguri","JOGESH CHANDRA TEA ESTATE","partial","Malhati Division","PMG6+3VP Malhati Division, Jogesh Chandra Tea Garden, West Bengal 735218","Siliguri","735218",,,26.7252184,88.662202,4.1,,"Playground","ChIJT_xjz5Zz5DkReLONZrdK_Fk","https://www.google.com/maps/place/?q=place_id:ChIJT_xjz5Zz5DkReLONZrdK_Fk","2026-09-14T11:27:53.656Z"
"MALNADY TEA ESTATE PVT. LTD., MALNADY TEA ESTATE PVT. LTD.,","Siliguri","MALNADY TEA ESTATE","matched","Malnady Tea Garden office","2ND FLOOR, Malnady Tea Garden office, Gopal Bhawan, Church Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7180713,88.4233677,,,"Tea Manufacturer","ChIJlZks-GlB5DkRddzFighaec4","https://maps.google.com/maps/preview/place/2ND+FLOOR,+Malnady+Tea+Garden+office,+Gopal+Bhawan,+Church+Rd,+Ward+10,+Janta+Nagar,+Siliguri,+West+Bengal+734001/@26.7180713,88.4233677,3564a,13.1y/data=!4m2!3m1!1s0x39e44169f82c9995:0xce795a088ac5dc75","2026-09-14T11:27:56.833Z"
"SOONGACHI TEA INDUSTRIES (P) LTD","Siliguri","NEW GLENCO TEA ESTATE","matched","Soongachi Tea !! BEST TEA SUPPLIERS IN SILIGURI !! BEST TEA MANUFACTURER IN SILIGURI !! BEST TEA WHOLESALER IN SILIGURI","Soongachi Tea !! BEST TEA SUPPLIERS IN SILIGURI !! BEST TEA MANUFACTURER IN SILIGURI !! BEST TEA WHOLESALER IN SILIGURI, Arjun Enclave C & E Block 1st Floor, Tea Auction Rd, Green Park Colony, Siliguri, West Bengal 734003","Siliguri","734003",,"http://soongachitea.in/",26.7353167,88.4103323,4,,"Tea Manufacturer","ChIJnVdlNi9B5DkR6WCl_xfs7ck","https://maps.google.com/maps/preview/place/Soongachi+Tea+!!+BEST+TEA+SUPPLIERS+IN+SILIGURI+!!+BEST+TEA+MANUFACTURER+IN+SILIGURI+!!+BEST+TEA+WHOLESALER+IN+SILIGURI,+Arjun+Enclave+C+%26+E+Block+1st+Floor,+Tea+Auction+Rd,+Green+Park+Colony,+Siliguri,+West+Bengal+734003/@26.7353167,88.4103323,3563a,13.1y/data=!4m2!3m1!1s0x39e4412f3665579d:0xc9edec17ffa560e9","2026-09-14T11:27:59.705Z"
"ABHIJIT TEA CO.(P) LTD.","Siliguri","RAJA TEA ESTATE","matched","Deesha Trade Endeavours P. Ltd.","Deesha Trade Endeavours P. Ltd., 195, Sukanta Sarani, opp. Bsnl Residential Complex, New Milanpally, Saktigarh, Siliguri, West Bengal 734005","Siliguri","734005",,"http://deeshaindiatea.in/",26.7007551,88.41436569999999,4.5,49,"Tea Manufacturer","ChIJxUoagNtB5DkR2I-asm2VMdw","https://www.google.com/maps/place/?q=place_id:ChIJxUoagNtB5DkR2I-asm2VMdw","2026-09-14T11:28:03.348Z"
"G.D. AGARWAL","Siliguri","SOONGACHI","partial","Siliguri","Siliguri, West Bengal","Siliguri","",,,26.7271012,88.39528609999999,,,,"ChIJzR1E9RRB5DkR_-1jIHDEtd4","https://maps.google.com/maps/preview/place/Siliguri,+West+Bengal/@26.7271012,88.3952861,3564a,13.1y/data=!4m2!3m1!1s0x39e44114f5441dcd:0xdeb5c4702063edff","2026-09-14T11:28:14.098Z"
"CHUNIAJHORA TEA CO LTD","Siliguri","NANDAN TEA ESTATE","matched","Chuniajhora Tea Co Ltd","Chuniajhora Tea Co Ltd, 62, Hill Cart Rd, Ward 10, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.716220099999997,88.4224708,,,"Tea Manufacturer","ChIJ_7UUwWpB5DkRMkXEDHDg8q8","https://maps.google.com/maps/preview/place/Chuniajhora+Tea+Co+Ltd,+62,+Hill+Cart+Rd,+Ward+10,+Hakim+Para,+Siliguri,+West+Bengal+734001/@26.7162201,88.4224708,3564a,13.1y/data=!4m2!3m1!1s0x39e4416ac114b5ff:0xaff2e0700cc44532","2026-09-14T11:28:16.419Z"
"NEPATI VALLEY TEA ESTATE (P) LTD","Siliguri","NEPATI VALLEY TEA ESTATE","matched","Happy Valley Tea Estate","Happy Valley Tea Estate, Lebong Cart Rd, near Darjeeling, Chauk Bazaar, Darjeeling, West Bengal 734101","Darjeeling","734101",,"https://happyvalleyorganictea.com/",27.0513425,88.25865259999999,4.4,2900,"Garden","ChIJ5_fbgLsu5DkRFfQNjzjGogQ","https://www.google.com/maps/place/?q=place_id:ChIJ5_fbgLsu5DkRFfQNjzjGogQ","2026-09-14T11:28:19.148Z"
"GOURANGA PARBATI TEA CO PVT DILIP DAS AND PRADIP DAS","Siliguri","PARBATI T.E AND GOURANGA","matched","PRADIP TEA COMPANY","STALL NO. T - 435, PRADIP TEA COMPANY, TULAPATTY ROAD, Bidhan Market Rd, near SECTOR BUILDING, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7171125,88.4254299,4,,"Tea Manufacturer","ChIJl6OYmWxB5DkRBx7Zzxf1puc","https://www.google.com/maps/place/?q=place_id:ChIJl6OYmWxB5DkRBx7Zzxf1puc","2026-09-14T11:28:22.409Z"
"ROSHANLAL AGARWAL","Siliguri","DHARANIPUR; RED BANK; SURENDRA NAGAR; RAIMATANG TEA ESTATE","partial","Roshan Lal & Company","Roshan Lal & Company, Nehru Rd, Ward 8, Khalpara, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7084859,88.4238371,5,2,"Wholesale grocer","ChIJF0AIFaRB5DkRISUL5FvEEic","https://www.google.com/maps/place/?q=place_id:ChIJF0AIFaRB5DkRISUL5FvEEic","2026-09-14T11:28:25.081Z"
