Serial,Garden Name,Reg No,Region,District,Subdivision,Company Status,Grant Area (Ha),Tea Area (Ha),Association,Estate Address,Estate Phone,Estate Email,Owner Entity,Directory Owner Address,Directory Owner Phone,Directory Owner Email,CEO Name,CEO Phone,CEO Email,HQ City,Scraped HQ Name,Scraped HQ Address,Scraped HQ PIN Code,Scraped HQ Phone,Scraped HQ Website,Latitude,Longitude,Place ID,Google Maps URL,HQ Match Status
1,"AIBHEEL TEA GARDEN","B-81","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1508.1,827.84,"ITA","P.O. MATELLI,DIST.JALPAIGURI735223, -","03561282956","aib@goodricke.com","GOODRICKE GROUP LIMITED","CAMELLIA, HOUSE,14,GURUSADAY, ROAD,KOLKATA19","03322873969","goodricke@goodricke.com","MR.A.N.SINGH","990300999","goodricke@goodricke.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
2,"ANANDAPUR TEA ESTATE","52","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",631.7,402.25,"ITA","P.O : ANANDAPUR, DIST.JALPAIGURI, WEST BENGAL.","03562-200253","anandapurteaestate@yahoo.com","NEW CHUMTA TEA CO. LTD","MCLEOD HOUSE 3, N.S.ROAD, KOLKATA-700001","033-22489161","mail@ntcl.in","MR. H.K.SHARMA","033-22489161","mail@ntcl.in","Kolkata","New Chumta Tea","New Chumta Tea, New Chumta Tea garden PO - New Chumta PS - Matigara, Siliguri, West Bengal 734009","734009","098008 82719","http://www.newchumtatea.com/",26.771186399999998,88.3639986,"ChIJPQ8-mq1H5DkR7qy_FrD6Tes","https://www.google.com/maps/place/?q=place_id:ChIJPQ8-mq1H5DkR7qy_FrD6Tes","matched"
3,"BAGRACOTE TEA GARDEN","B-2625","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",808.63,488.89,"TRA","P.O. BAGRACOTE,DIST JALPAIGURI","03562245261","bagtg@duncan.tea.co.in","DUNCANS INDUSTRIES LIMITED","31,W.S. ROAD,KOLKATA-1","","","MR. G.P. GOENKA","","","Kolkata","Duncans Tea Limited","4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001","700001","033 2242 1605","https://www.duncanstea.in/",22.5758118,88.3490346,"ChIJhZmnTbt3AjoRLq_WvutvPsY","https://maps.google.com/maps/preview/place/4th+Floor,+Duncans+Tea+Limited,+Duncan+House,+31,+Netaji+Subhas+Rd,+Murgighata,+B.B.D.+Bagh,+Kolkata,+West+Bengal+700001/@22.5758118,88.3490346,3684a,13.1y/data=!4m2!3m1!1s0x3a0277bb4da79985:0xc63e6febbed6af2e","matched"
4,"BAINTGOORIE TEA ESTATE","2626","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1056.83,657.93,"ITA","BAINTGOORIE T.E. P.O., MALBAZAR,DIST:JALPAIGURI(W.B.)","03562200026","senguptaaloke@rediffmail.com","DIANA TEA CO. LTD.","3,B LALBAZAR ST. KOLKATA-, 700001","03322488672","contactus@dianatea.in","MR.SANDEEP KUMER SINGHANIA","9831008677","contactus@dianatea.in","Kolkata","Diana Tea Company Limited","4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001","700001","033 2248 8672","http://dianatea.in/",22.571953,88.35202,"ChIJrz92paV3AjoRgq3T0Eb5lA8","https://maps.google.com/maps/preview/place/4th+Floor,+Diana+Tea+Company+Limited,+SIR+RNM+House,+3%2FB,+Lal+Bazar+St,+Lal+Bazar,+Kolkata,+West+Bengal+700001/@22.571953,88.35202,3684a,13.1y/data=!4m2!3m1!1s0x3a0277a5a5763faf:0xf94f946d0d3ad82","matched"
5,"BATABARI","1612","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",487.59,299.59,"ITA","P.O. CHALSA, DIST: JALPAIGURI-, 735206","03562260351","","AMALGAMATED PLANTATIONS","PRIVATE LIMITED, G.S. ROAD, DISPUR, P. BOX NO. 9, CH, CHRISTIAN BASTI, GUWAHATI-, 700851","03612341618","deepak.atal@amalgamated.in","DEEPAK ATAL","03612341618","deepak.atal@amalgamated.in","Assam","Amalgamated Plantations Guwahati","Amalgamated Plantations Guwahati, GS Rd, Ananda Nagar, Christian Basti, Guwahati, Assam 781005","781005","0361 234 0037","",26.157656799999998,91.77633689999999,"ChIJqYSXUhJZWjcRX2Q5Mldoob0","https://www.google.com/maps/place/?q=place_id:ChIJqYSXUhJZWjcRX2Q5Mldoob0","matched"
6,"CHALOUNI","B-7","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",778.96,562.93,"ITA","P.O MATELLI, DIST- JALPAIGURI, W.B","03562-200071","chalouni@goodricke.com","GOODRICKE GROUP LIMITED","CAMELLIA HOUSE, 14,, GURUSADAY ROAD, KOL-19","033-22873067","goodricke@.vsnl.com","MR. ARUN SINGH","9903000999","goodricke@.vsnl.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
7,"CHHAOPHALI TEA ESTATE","3985","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",35.294,35.19,"None","P.O-BATABARI, DIST-JALPAIGURI, W.B","9733149174","","DUTTA AGRO PLANTATION PVT LTD","RAJANI BAGAN, HILL ACRT ROAD,, SILIGURI, DARJEELING","9832032095","","SANJOY DUTTA","9832032095","","Siliguri","Dutta Agro Products Pvt Ltd.","Dutta Agro Products Pvt Ltd., Kalna Rd, Gargeswar, Bardhaman, Jabui, West Bengal 713146","713146","","http://duttaagroproducts.com/",23.2524996,88.0898273,"ChIJAZykrEpR-DkRaKAq2gQe0JE","https://www.google.com/maps/place/?q=place_id:ChIJAZykrEpR-DkRaKAq2gQe0JE","partial"
8,"CHULSA TEA ESTATE","B 26","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",624.09,442.6,"TRA","POST-MATELLI, DIST-JALPAIGURI","9775460329","chulsa@goodricke.com","GOODRICKE GROUP LIMITED","14,GURUSADEY ROAD, CAMELLIA, HOUSE, KOLKATA-19","03322873067","chulsa@goodricke.com","MR.A.N.SINGH","03322873067","ansingh@goodricke.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
9,"DAGAPUR","225","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",274.55,194.77,"TAI","DT DARJEELING, PO PRADHAN, NAGAR, WEST BENGAL","0353-2511305","","SUBLIME AGRO LTD.","7/1, LORD SINHA ROAD, KOLKATA, 700 001","033-22820521","sublimeagro@gmail.com","SUBLIME AGRO LTD.","033-22820521","sublimeagro@gmail.com","Kolkata","Surobhi Agro Industries Pvt Ltd","Surobhi Agro Industries Pvt Ltd, Anwesha, opposite lahari dance institute, aam tala shiv than, Fartabad, Garia, Rajpur Sonarpur, West Bengal 700084","700084","","http://www.farmologyindia.com/",22.4611958,88.3936423,"ChIJmY0licR4AjoR93tE2UKtfys","https://maps.google.com/maps/preview/place/Surobhi+Agro+Industries+Pvt+Ltd,+Anwesha,+opposite+lahari+dance+institute,+aam+tala+shiv+than,+Fartabad,+Garia,+Rajpur+Sonarpur,+West+Bengal+700084/@22.4611958,88.3936423,3687a,13.1y/data=!4m2!3m1!1s0x3a0278c489258d99:0x2b7fad42d9447bf7","partial"
10,"ELLENBARRIE TEA ESTATE","2472","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",382.02,229.46,"ITPA","P.O., BAGRACOTE,DIST:JALPAIGURI,W.B.","09735001710","","THE ELLENBARRIE TEA CO.LTD. SHANTI PROSAD AGARWALLA","746 BLOCK'P'NEW, ALIPOREK.L.SAIGOL, SARANI,KOLKATA53, E-, Mail :shanti.agarwala@ellenbarrie.co, m","03322291923","shanti.agarwala@ellenbarrie.co","746 BLOCK'P'NEW","09735001710","shanti.agarwala@ellenbarrie.co","Kolkata","The Ellenbarrie Tea Co Limited","The Ellenbarrie Tea Co Limited, 3a, Ripon St, Block K, Taltala, Kolkata, West Bengal 700014","700014","033 2229 1923","",22.510489999999997,88.33555,"ChIJs5XPpKpwAjoRstgDRRr6bfI","https://www.google.com/maps/place/?q=place_id:ChIJs5XPpKpwAjoRstgDRRr6bfI","matched"
