phone,client,garden,source,confidence,send_decision,notes,email,imported
9085525377,Alimur T.E.,Alimur T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,False
8011322474,Amulguri T.E.,Amulguri T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,halmari@amarawatitea.com; msharma@amarawatitea.com; soham@amarawatitea.com,True
6000437772,Ananada Bari T.E.,Ananada Bari T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,True
9435035462,Aparna T.E.,Aparna T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9954446448,Asitpur T.E.,Asitpur T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9435034005,Assam Tea & Tea Seeds Plantation,Assam Tea & Tea Seeds Plantation,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,False
8011017498,Bagrodia Plantations & Industries,Bagrodia Plantations & Industries,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,halmari@amarawatitea.com; msharma@amarawatitea.com; soham@amarawatitea.com,False
9435738646,Balimora T.E.,Balimora T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,halmari@amarawatitea.com; msharma@amarawatitea.com; soham@amarawatitea.com,False
9831594993,Bharatia T.E.,Bharatia T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,False
8133949296,Bijlibari T.E.,Bijlibari T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,False
